Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:49:26
Collection Length (seconds):, 58.779
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.8857422, 0, 0.2915649, 0, -0.144165, 0, 0.3311157, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.8856201, 0.0135, 0.2918701, 0.0135, -0.1442871, 0.0135, 0.3311157, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.8855591, 0.027, 0.2921143, 0.027, -0.1442871, 0.027, 0.3311768, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.885437, 0.0405, 0.2926636, 0.0405, -0.1442261, 0.0405, 0.3310547, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.8853149, 0.054, 0.2929688, 0.054, -0.1442871, 0.054, 0.3309326, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.8851929, 0.0675, 0.2937622, 0.0675, -0.1445923, 0.0675, 0.3305664, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.8851318, 0.081, 0.2941284, 0.081, -0.1448364, 0.081, 0.3302612, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.8850708, 0.0945, 0.2948608, 0.0945, -0.1452026, 0.0945, 0.3296509, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.8850098, 0.108, 0.2952881, 0.108, -0.1452637, 0.108, 0.3294067, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.8848267, 0.1215, 0.2962646, 0.1215, -0.1453247, 0.1215, 0.3289185, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.8847656, 0.135, 0.2966919, 0.135, -0.1454468, 0.135, 0.3286743, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.8846436, 0.1485, 0.2971802, 0.1485, -0.145874, 0.1485, 0.3283691, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.8845215, 0.162, 0.2973633, 0.162, -0.1460571, 0.162, 0.3284302, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.8843384, 0.1755, 0.2977905, 0.1755, -0.1464844, 0.1755, 0.3283691, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.8840942, 0.189, 0.298645, 0.189, -0.1466675, 0.189, 0.328125, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.8839722, 0.2025, 0.2992554, 0.2025, -0.1466675, 0.2025, 0.3278198, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.8840332, 0.216, 0.2999878, 0.216, -0.1466064, 0.216, 0.3272095, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.8840942, 0.2295, 0.3001099, 0.2295, -0.1464844, 0.2295, 0.3269043, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.8842163, 0.243, 0.3002319, 0.243, -0.1463013, 0.243, 0.3264771, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.8842773, 0.2565, 0.3002319, 0.2565, -0.1463013, 0.2565, 0.326355, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.8841553, 0.27, 0.3004761, 0.27, -0.1461792, 0.27, 0.3264771, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.8840332, 0.2835, 0.3005981, 0.2835, -0.1461792, 0.2835, 0.3266602, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.8839722, 0.297, 0.3005981, 0.297, -0.1459961, 0.297, 0.3270264, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.8839722, 0.3105, 0.3004761, 0.3105, -0.145813, 0.3105, 0.3272095, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.8839111, 0.324, 0.3000488, 0.324, -0.1450195, 0.324, 0.3280029, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.8839722, 0.3375, 0.2998657, 0.3375, -0.1445312, 0.3375, 0.3283691, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.8840332, 0.351, 0.2993774, 0.351, -0.1433105, 0.351, 0.3291626, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.8840942, 0.3645, 0.2990112, 0.3645, -0.1427612, 0.3645, 0.3295288, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.8842163, 0.378, 0.2983398, 0.378, -0.1419067, 0.378, 0.3300781, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.8842773, 0.3915, 0.2979736, 0.3915, -0.1414795, 0.3915, 0.3304443, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.8843384, 0.405, 0.2979126, 0.405, -0.1415405, 0.405, 0.3303223, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.8845825, 0.4185, 0.2978516, 0.4185, -0.1418457, 0.4185, 0.3297119, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.8847046, 0.432, 0.2978516, 0.432, -0.1420898, 0.432, 0.3291626, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.8851318, 0.4455, 0.2974854, 0.4455, -0.1427612, 0.4455, 0.328186, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.8853149, 0.459, 0.2971802, 0.459, -0.1430664, 0.459, 0.3278198, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.8856812, 0.4725, 0.2966919, 0.4725, -0.1435547, 0.4725, 0.3270874, , , , , , , , , , , , , , , , , , , , , , 
