Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:47:13
Collection Length (seconds):, 67.041
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.802002, 0, 0.3286743, 0, 0.1337891, 0, 0.4805298, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.8015747, 0.0135, 0.3285522, 0.0135, 0.1338501, 0.0135, 0.4812012, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.8014526, 0.027, 0.3285522, 0.027, 0.1338501, 0.027, 0.4814453, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.8011475, 0.0405, 0.3286133, 0.0405, 0.1338501, 0.0405, 0.4818726, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.8010864, 0.054, 0.3286743, 0.054, 0.1338501, 0.054, 0.4819336, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.8010254, 0.0675, 0.3287354, 0.0675, 0.1337891, 0.0675, 0.4820557, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.8009644, 0.081, 0.3288574, 0.081, 0.133728, 0.081, 0.4820557, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.8009644, 0.0945, 0.3289795, 0.0945, 0.1335449, 0.0945, 0.4820557, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.8009033, 0.108, 0.3291016, 0.108, 0.1334839, 0.108, 0.4820557, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.8009033, 0.1215, 0.3292236, 0.1215, 0.1334839, 0.1215, 0.4819946, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.8009644, 0.135, 0.3293457, 0.135, 0.1334229, 0.135, 0.4818726, , , , , , , , , , , , , , , , , , , , , , 
