Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:50:47
Collection Length (seconds):, 56.565
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.897522, 0, 0.3222656, 0, -0.1101685, 0, 0.2800293, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.897583, 0.0135, 0.3222656, 0.0135, -0.1102905, 0.0135, 0.2799072, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.897583, 0.027, 0.3222046, 0.027, -0.1103516, 0.027, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.897522, 0.0405, 0.3222046, 0.0405, -0.1103516, 0.0405, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.897522, 0.054, 0.3222046, 0.054, -0.1104126, 0.054, 0.2800293, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.897583, 0.0675, 0.3221436, 0.0675, -0.1105347, 0.0675, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.897583, 0.081, 0.3220825, 0.081, -0.1106567, 0.081, 0.2799072, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.8977051, 0.0945, 0.3218384, 0.0945, -0.1107788, 0.0945, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.8977051, 0.108, 0.3218384, 0.108, -0.1107788, 0.108, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.8977051, 0.1215, 0.3217773, 0.1215, -0.1109009, 0.1215, 0.2799072, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.897644, 0.135, 0.3217773, 0.135, -0.1108398, 0.135, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.897644, 0.1485, 0.3217773, 0.1485, -0.1108398, 0.1485, 0.2800903, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.897583, 0.162, 0.3217773, 0.162, -0.1108398, 0.162, 0.2800903, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.897583, 0.1755, 0.3218384, 0.1755, -0.1107788, 0.1755, 0.2800903, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.897522, 0.189, 0.3219604, 0.189, -0.1107788, 0.189, 0.2801514, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.897522, 0.2025, 0.3219604, 0.2025, -0.1107788, 0.2025, 0.2801514, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.897583, 0.216, 0.3220215, 0.216, -0.1108398, 0.216, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.897583, 0.2295, 0.3220825, 0.2295, -0.1108398, 0.2295, 0.2799072, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.897583, 0.243, 0.3221436, 0.243, -0.1109009, 0.243, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.897583, 0.2565, 0.3221436, 0.2565, -0.1109009, 0.2565, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.897522, 0.27, 0.3222656, 0.27, -0.1109619, 0.27, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.8974609, 0.2835, 0.3223267, 0.2835, -0.111145, 0.2835, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.8974609, 0.297, 0.3225098, 0.297, -0.1112061, 0.297, 0.2797241, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.8973999, 0.3105, 0.3225708, 0.3105, -0.111145, 0.3105, 0.2796631, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.8973389, 0.324, 0.3227539, 0.324, -0.111084, 0.324, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.8972168, 0.3375, 0.322876, 0.3375, -0.1110229, 0.3375, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.8971558, 0.351, 0.322998, 0.351, -0.1109009, 0.351, 0.2802124, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.8970947, 0.3645, 0.3231201, 0.3645, -0.1109009, 0.3645, 0.2801514, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.8970947, 0.378, 0.3232422, 0.378, -0.1108398, 0.378, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.8970947, 0.3915, 0.3233032, 0.3915, -0.1107788, 0.3915, 0.2799072, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.8970947, 0.405, 0.3233032, 0.405, -0.1107788, 0.405, 0.2799072, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.8970947, 0.4185, 0.3234863, 0.4185, -0.1107788, 0.4185, 0.2799072, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.8970337, 0.432, 0.3236084, 0.432, -0.1108398, 0.432, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.8970337, 0.4455, 0.3237305, 0.4455, -0.1108398, 0.4455, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.8969727, 0.459, 0.3237915, 0.459, -0.1108398, 0.459, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.8969727, 0.4725, 0.3238525, 0.4725, -0.1107788, 0.4725, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.8969727, 0.486, 0.3239136, 0.486, -0.1107788, 0.486, 0.2797241, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.8969116, 0.4995, 0.3240967, 0.4995, -0.1107178, 0.4995, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.8969116, 0.513, 0.3241577, 0.513, -0.1107178, 0.513, 0.2797241, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.8968506, 0.5265, 0.3242798, 0.5265, -0.1105957, 0.5265, 0.2797241, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.8968506, 0.54, 0.3243408, 0.54, -0.1105347, 0.54, 0.2797241, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.8967896, 0.5535, 0.3244629, 0.5535, -0.1104126, 0.5535, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.8967896, 0.567, 0.3245239, 0.567, -0.1104126, 0.567, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.8967896, 0.5805, 0.324585, 0.5805, -0.1103516, 0.5805, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.8967896, 0.594, 0.324646, 0.594, -0.1103516, 0.594, 0.2797241, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.8967285, 0.6075, 0.324707, 0.6075, -0.1102905, 0.6075, 0.2797241, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.8967285, 0.621, 0.3247681, 0.621, -0.1102905, 0.621, 0.2796631, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.8967285, 0.6345, 0.3248291, 0.6345, -0.1101685, 0.6345, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.8967285, 0.648, 0.3248901, 0.648, -0.1099854, 0.648, 0.2797241, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.8966675, 0.6615, 0.3250122, 0.6615, -0.1099243, 0.6615, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.8966064, 0.675, 0.3250732, 0.675, -0.1098022, 0.675, 0.2797852, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.8966064, 0.6885, 0.3251953, 0.6885, -0.1096802, 0.6885, 0.2798462, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.8965454, 0.702, 0.3251953, 0.702, -0.1096191, 0.702, 0.2800293, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.8965454, 0.7155, 0.3252563, 0.7155, -0.1095581, 0.7155, 0.2800293, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.8965454, 0.729, 0.3252563, 0.729, -0.1095581, 0.729, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.8965454, 0.7425, 0.3253174, 0.7425, -0.1094971, 0.7425, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.756, 0.8965454, 0.756, 0.3253784, 0.756, -0.109436, 0.756, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.7695, 0.8965454, 0.7695, 0.3253784, 0.7695, -0.109436, 0.7695, 0.2800293, , , , , , , , , , , , , , , , , , , , , , 
0.783, 0.8965454, 0.783, 0.3254395, 0.783, -0.109375, 0.783, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.7965, 0.8964844, 0.7965, 0.3255615, 0.7965, -0.109314, 0.7965, 0.2799072, , , , , , , , , , , , , , , , , , , , , , 
0.81, 0.8964844, 0.81, 0.3255615, 0.81, -0.1092529, 0.81, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.8235, 0.8964844, 0.8235, 0.3255615, 0.8235, -0.1091919, 0.8235, 0.2799683, , , , , , , , , , , , , , , , , , , , , , 
0.837, 0.8964844, 0.837, 0.3255615, 0.837, -0.1091919, 0.837, 0.2800293, , , , , , , , , , , , , , , , , , , , , , 
0.8505, 0.8964233, 0.8505, 0.3256226, 0.8505, -0.1090698, 0.8505, 0.2801514, , , , , , , , , , , , , , , , , , , , , , 
0.864, 0.8964233, 0.864, 0.3256836, 0.864, -0.1090088, 0.864, 0.2802124, , , , , , , , , , , , , , , , , , , , , , 
0.8775, 0.8963623, 0.8775, 0.3258057, 0.8775, -0.1088867, 0.8775, 0.2803345, , , , , , , , , , , , , , , , , , , , , , 
0.891, 0.8963013, 0.891, 0.3258057, 0.891, -0.1088867, 0.891, 0.2803955, , , , , , , , , , , , , , , , , , , , , , 
0.9045, 0.8963013, 0.9045, 0.3258057, 0.9045, -0.1087646, 0.9045, 0.2804565, , , , , , , , , , , , , , , , , , , , , , 
0.918, 0.8962402, 0.918, 0.3258667, 0.918, -0.1087646, 0.918, 0.2805176, , , , , , , , , , , , , , , , , , , , , , 
0.9315, 0.8961792, 0.9315, 0.3259888, 0.9315, -0.1085815, 0.9315, 0.2806396, , , , , , , , , , , , , , , , , , , , , , 
0.945, 0.8961792, 0.945, 0.3259888, 0.945, -0.1085205, 0.945, 0.2806396, , , , , , , , , , , , , , , , , , , , , , 
0.9585, 0.8961792, 0.9585, 0.3260498, 0.9585, -0.1082764, 0.9585, 0.2808228, , , , , , , , , , , , , , , , , , , , , , 
0.972, 0.8961792, 0.972, 0.3259888, 0.972, -0.1082153, 0.972, 0.2808838, , , , , , , , , , , , , , , , , , , , , , 
0.9855, 0.8961182, 0.9855, 0.3259888, 0.9855, -0.1082153, 0.9855, 0.2809448, , , , , , , , , , , , , , , , , , , , , , 
0.999, 0.8961792, 0.999, 0.3259277, 0.999, -0.1082153, 0.999, 0.2808838, , , , , , , , , , , , , , , , , , , , , , 
1.0125, 0.8961792, 1.0125, 0.3259277, 1.0125, -0.1081543, 1.0125, 0.2808838, , , , , , , , , , , , , , , , , , , , , , 
1.026, 0.8961792, 1.026, 0.3259888, 1.026, -0.1080322, 1.026, 0.2810059, , , , , , , , , , , , , , , , , , , , , , 
1.0395, 0.8961182, 1.0395, 0.3259888, 1.0395, -0.1080322, 1.0395, 0.2810669, , , , , , , , , , , , , , , , , , , , , , 
1.053, 0.8960571, 1.053, 0.3261108, 1.053, -0.1079712, 1.053, 0.281189, , , , , , , , , , , , , , , , , , , , , , 
1.0665, 0.8961182, 1.0665, 0.3261108, 1.0665, -0.1079712, 1.0665, 0.2810669, , , , , , , , , , , , , , , , , , , , , , 
1.08, 0.8961182, 1.08, 0.3261108, 1.08, -0.1080322, 1.08, 0.2809448, , , , , , , , , , , , , , , , , , , , , , 
1.0935, 0.8961182, 1.0935, 0.3261108, 1.0935, -0.1080322, 1.0935, 0.2810059, , , , , , , , , , , , , , , , , , , , , , 
1.107, 0.8961182, 1.107, 0.3261719, 1.107, -0.1080322, 1.107, 0.2810059, , , , , , , , , , , , , , , , , , , , , , 
1.1205, 0.8960571, 1.1205, 0.3261719, 1.1205, -0.1080322, 1.1205, 0.2810669, , , , , , , , , , , , , , , , , , , , , , 
1.134, 0.8960571, 1.134, 0.3262329, 1.134, -0.1079712, 1.134, 0.2810669, , , , , , , , , , , , , , , , , , , , , , 
1.1475, 0.8960571, 1.1475, 0.3262939, 1.1475, -0.1079712, 1.1475, 0.2810059, , , , , , , , , , , , , , , , , , , , , , 
1.161, 0.8960571, 1.161, 0.3262939, 1.161, -0.1080933, 1.161, 0.2808228, , , , , , , , , , , , , , , , , , , , , , 
1.1745, 0.8961182, 1.1745, 0.326355, 1.1745, -0.1080933, 1.1745, 0.2807007, , , , , , , , , , , , , , , , , , , , , , 
1.188, 0.8961182, 1.188, 0.3262939, 1.188, -0.1080933, 1.188, 0.2807007, , , , , , , , , , , , , , , , , , , , , , 
