Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:17:14
Collection Length (seconds):, 63.612
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.7979736, 0, 0.2067871, 0, 0.0745239, 0, 0.5611572, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.7979126, 0.0135, 0.2067871, 0.0135, 0.0743408, 0.0135, 0.5613403, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.7978516, 0.027, 0.2067871, 0.027, 0.0742188, 0.027, 0.5614014, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.7977905, 0.0405, 0.2067871, 0.0405, 0.0740967, 0.0405, 0.5615234, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.7977295, 0.054, 0.2067871, 0.054, 0.0739746, 0.054, 0.5616455, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.7976074, 0.0675, 0.2067871, 0.0675, 0.0739746, 0.0675, 0.5617676, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.7976074, 0.081, 0.2067871, 0.081, 0.0739136, 0.081, 0.5618286, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.7974243, 0.0945, 0.2067871, 0.0945, 0.0737915, 0.0945, 0.5620728, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.7972412, 0.108, 0.2069092, 0.108, 0.0737305, 0.108, 0.5622559, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.7971802, 0.1215, 0.2069092, 0.1215, 0.0736694, 0.1215, 0.5623169, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.7970581, 0.135, 0.2069702, 0.135, 0.0736694, 0.135, 0.5625, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.796936, 0.1485, 0.2070312, 0.1485, 0.0736694, 0.1485, 0.5626831, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.796875, 0.162, 0.2071533, 0.162, 0.0736084, 0.162, 0.5627441, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.796814, 0.1755, 0.2072144, 0.1755, 0.0735474, 0.1755, 0.5628052, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.796814, 0.189, 0.2073364, 0.189, 0.0735474, 0.189, 0.5627441, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.796814, 0.2025, 0.2073975, 0.2025, 0.0736084, 0.2025, 0.5627441, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.7967529, 0.216, 0.2073364, 0.216, 0.0736084, 0.216, 0.5628052, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.7967529, 0.2295, 0.2073975, 0.2295, 0.0736084, 0.2295, 0.5628052, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.7967529, 0.243, 0.2073975, 0.243, 0.0736084, 0.243, 0.5628662, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.7966919, 0.2565, 0.2073975, 0.2565, 0.0736084, 0.2565, 0.5629272, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.7966309, 0.27, 0.2074585, 0.27, 0.0736084, 0.27, 0.5629272, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.7966919, 0.2835, 0.2075195, 0.2835, 0.0735474, 0.2835, 0.5628662, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.796814, 0.297, 0.2075195, 0.297, 0.0734863, 0.297, 0.5626831, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.796936, 0.3105, 0.2074585, 0.3105, 0.0734253, 0.3105, 0.5625, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.7969971, 0.324, 0.2073975, 0.324, 0.0733643, 0.324, 0.5625, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.7970581, 0.3375, 0.2073364, 0.3375, 0.0733643, 0.3375, 0.562439, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.7971802, 0.351, 0.2073364, 0.351, 0.0733032, 0.351, 0.5622559, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.7973022, 0.3645, 0.2072754, 0.3645, 0.0733032, 0.3645, 0.5621338, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.7972412, 0.378, 0.2072144, 0.378, 0.0733032, 0.378, 0.5621948, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.7973633, 0.3915, 0.2072144, 0.3915, 0.0731812, 0.3915, 0.5620117, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.7974854, 0.405, 0.2071533, 0.405, 0.0731201, 0.405, 0.5618896, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.7977295, 0.4185, 0.2070923, 0.4185, 0.072937, 0.4185, 0.5615845, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.7978516, 0.432, 0.2070312, 0.432, 0.072876, 0.432, 0.5614624, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.7980347, 0.4455, 0.2069702, 0.4455, 0.0727539, 0.4455, 0.5612793, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.7980347, 0.459, 0.2069702, 0.459, 0.0726929, 0.459, 0.5612793, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.7980957, 0.4725, 0.2069092, 0.4725, 0.0726318, 0.4725, 0.5611572, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.7981567, 0.486, 0.2068481, 0.486, 0.0726318, 0.486, 0.5610962, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.7982788, 0.4995, 0.2067871, 0.4995, 0.0726929, 0.4995, 0.5609741, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.7983398, 0.513, 0.2067261, 0.513, 0.0727539, 0.513, 0.5609741, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.7982788, 0.5265, 0.2067261, 0.5265, 0.0728149, 0.5265, 0.5609741, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.7982788, 0.54, 0.206604, 0.54, 0.0728149, 0.54, 0.5610962, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.7982788, 0.5535, 0.2064819, 0.5535, 0.072876, 0.5535, 0.5610962, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.7981567, 0.567, 0.2063599, 0.567, 0.072937, 0.567, 0.5612793, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.7980957, 0.5805, 0.2062378, 0.5805, 0.072937, 0.5805, 0.5614014, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.7979736, 0.594, 0.2061768, 0.594, 0.072876, 0.594, 0.5615845, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.7979736, 0.6075, 0.2061157, 0.6075, 0.072876, 0.6075, 0.5615845, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.7979126, 0.621, 0.2060547, 0.621, 0.072998, 0.621, 0.5617676, , , , , , , , , , , , , , , , , , , , , , 
