Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:18:40
Collection Length (seconds):, 63.1125
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.7818604, 0, 0.2259521, 0, 0.0881958, 0, 0.5742798, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.7819824, 0.0135, 0.2262573, 0.0135, 0.0878296, 0.0135, 0.5740356, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.7821045, 0.027, 0.2266235, 0.027, 0.0874634, 0.027, 0.5738525, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.7821655, 0.0405, 0.2267456, 0.0405, 0.0872803, 0.0405, 0.5737305, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.7821045, 0.054, 0.2269897, 0.054, 0.0869751, 0.054, 0.5737305, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.7821045, 0.0675, 0.2271118, 0.0675, 0.086792, 0.0675, 0.5737305, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.7822266, 0.081, 0.2271118, 0.081, 0.0864868, 0.081, 0.5736084, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.7822876, 0.0945, 0.2271118, 0.0945, 0.0862427, 0.0945, 0.5736084, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.7822876, 0.108, 0.2270508, 0.108, 0.0858765, 0.108, 0.5736084, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.7822876, 0.1215, 0.2270508, 0.1215, 0.0856934, 0.1215, 0.5737305, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.7823486, 0.135, 0.2269897, 0.135, 0.0853882, 0.135, 0.5736694, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.7824097, 0.1485, 0.2268677, 0.1485, 0.0852051, 0.1485, 0.5736694, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.7825317, 0.162, 0.2266846, 0.162, 0.0848389, 0.162, 0.5736694, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.7825928, 0.1755, 0.2265625, 0.1755, 0.0846558, 0.1755, 0.5736694, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.7826538, 0.189, 0.2263794, 0.189, 0.0842896, 0.189, 0.5736694, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.7826538, 0.2025, 0.2263184, 0.2025, 0.0842285, 0.2025, 0.5736694, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.7827759, 0.216, 0.2261963, 0.216, 0.0839233, 0.216, 0.5736694, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.7828369, 0.2295, 0.2261353, 0.2295, 0.0836792, 0.2295, 0.5736084, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.7828979, 0.243, 0.2260132, 0.243, 0.0836182, 0.243, 0.5735474, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.782959, 0.2565, 0.2258301, 0.2565, 0.083374, 0.2565, 0.5735474, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.78302, 0.27, 0.225769, 0.27, 0.083313, 0.27, 0.5735474, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.7832031, 0.2835, 0.225647, 0.2835, 0.0830688, 0.2835, 0.5734253, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.7832642, 0.297, 0.2255859, 0.297, 0.0829468, 0.297, 0.5733032, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.7834473, 0.3105, 0.2255249, 0.3105, 0.0828247, 0.3105, 0.5731201, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.7835693, 0.324, 0.2254639, 0.324, 0.0827637, 0.324, 0.572998, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.7835083, 0.3375, 0.2252197, 0.3375, 0.0829468, 0.3375, 0.5731812, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.7833862, 0.351, 0.2250977, 0.351, 0.0830078, 0.351, 0.5733032, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.7832031, 0.3645, 0.2246704, 0.3645, 0.0831299, 0.3645, 0.5737305, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.7831421, 0.378, 0.2245483, 0.378, 0.0830688, 0.378, 0.5739136, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.78302, 0.3915, 0.2243652, 0.3915, 0.0829468, 0.3915, 0.5742188, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.7828979, 0.405, 0.2243042, 0.405, 0.0827637, 0.405, 0.5743408, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.7828369, 0.4185, 0.2242432, 0.4185, 0.0825806, 0.4185, 0.5744629, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.7827759, 0.432, 0.2241821, 0.432, 0.0823975, 0.432, 0.574646, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.7827148, 0.4455, 0.2241211, 0.4455, 0.0822754, 0.4455, 0.5747681, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.7826538, 0.459, 0.2240601, 0.459, 0.0821533, 0.459, 0.5748901, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.7825928, 0.4725, 0.223999, 0.4725, 0.0820312, 0.4725, 0.5750122, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.7825317, 0.486, 0.223877, 0.486, 0.0819092, 0.486, 0.5751343, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.7825928, 0.4995, 0.2237549, 0.4995, 0.0818481, 0.4995, 0.5751343, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.7825928, 0.513, 0.2236328, 0.513, 0.081665, 0.513, 0.5751343, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.7825928, 0.5265, 0.2235718, 0.5265, 0.081665, 0.5265, 0.5751953, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.7825928, 0.54, 0.2235718, 0.54, 0.0814819, 0.54, 0.5752563, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.7825928, 0.5535, 0.2236328, 0.5535, 0.0814209, 0.5535, 0.5752563, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.7825928, 0.567, 0.2236328, 0.567, 0.0814209, 0.567, 0.5752563, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.7825928, 0.5805, 0.2236938, 0.5805, 0.0814209, 0.5805, 0.5752563, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.7825928, 0.594, 0.2236938, 0.594, 0.0814209, 0.594, 0.5752563, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.7825928, 0.6075, 0.2237549, 0.6075, 0.0814209, 0.6075, 0.5752563, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.7825317, 0.621, 0.2237549, 0.621, 0.0813599, 0.621, 0.5753174, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.7825317, 0.6345, 0.223938, 0.6345, 0.0812378, 0.6345, 0.5752563, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.7825317, 0.648, 0.223938, 0.648, 0.0812378, 0.648, 0.5752563, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.7826538, 0.6615, 0.2240601, 0.6615, 0.0811157, 0.6615, 0.5750732, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.7827148, 0.675, 0.2241211, 0.675, 0.0810547, 0.675, 0.5749512, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.7828369, 0.6885, 0.2241821, 0.6885, 0.0808105, 0.6885, 0.5747681, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.7828979, 0.702, 0.2241821, 0.702, 0.0807495, 0.702, 0.574707, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.782959, 0.7155, 0.2241821, 0.7155, 0.0806274, 0.7155, 0.574585, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.7830811, 0.729, 0.2241211, 0.729, 0.0805664, 0.729, 0.5745239, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.7832642, 0.7425, 0.2240601, 0.7425, 0.0804443, 0.7425, 0.5742798, , , , , , , , , , , , , , , , , , , , , , 
0.756, 0.7833252, 0.756, 0.223999, 0.756, 0.0804443, 0.756, 0.5742798, , , , , , , , , , , , , , , , , , , , , , 
0.7695, 0.7833252, 0.7695, 0.223938, 0.7695, 0.0803833, 0.7695, 0.5742798, , , , , , , , , , , , , , , , , , , , , , 
