Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:15:55
Collection Length (seconds):, 59.1435
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.7721558, 0, 0.2277222, 0, 0.0905762, 0, 0.5862427, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.7722168, 0.0135, 0.2277222, 0.0135, 0.0905762, 0.0135, 0.5861816, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.7722168, 0.027, 0.2277222, 0.027, 0.0905762, 0.027, 0.5861816, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.7721558, 0.0405, 0.2277222, 0.0405, 0.0906372, 0.0405, 0.5862427, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.7721558, 0.054, 0.2277222, 0.054, 0.0906982, 0.054, 0.5863037, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.7720947, 0.0675, 0.2276611, 0.0675, 0.0906982, 0.0675, 0.5863037, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.7721558, 0.081, 0.2276611, 0.081, 0.0907593, 0.081, 0.5863037, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.7721558, 0.0945, 0.2276611, 0.0945, 0.0906982, 0.0945, 0.5862427, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.7722168, 0.108, 0.2276611, 0.108, 0.0906982, 0.108, 0.5861816, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.7722168, 0.1215, 0.2276611, 0.1215, 0.0906982, 0.1215, 0.5861816, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.7722778, 0.135, 0.2277222, 0.135, 0.0907593, 0.135, 0.5860596, , , , , , , , , , , , , , , , , , , , , , 
