Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 17:01:28
Collection Length (seconds):, 48.0195
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9572144, 0, 0.173584, 0, 0.0253296, 0, 0.2301636, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9554443, 0.0135, 0.1751099, 0.0135, 0.0251465, 0.0135, 0.2363892, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9514771, 0.027, 0.1784668, 0.027, 0.0250244, 0.027, 0.2494507, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9492188, 0.0405, 0.1803589, 0.0405, 0.0255737, 0.0405, 0.2563477, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.944519, 0.054, 0.1844482, 0.054, 0.0281982, 0.054, 0.2702637, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9421997, 0.0675, 0.1861572, 0.0675, 0.0300293, 0.0675, 0.2769165, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.937561, 0.081, 0.1890869, 0.081, 0.0341187, 0.081, 0.289978, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.93573, 0.0945, 0.1903076, 0.0945, 0.0342407, 0.0945, 0.2949829, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9328613, 0.108, 0.1939697, 0.108, 0.0304565, 0.108, 0.302002, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9310303, 0.1215, 0.1968994, 0.1215, 0.0278931, 0.1215, 0.3059082, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9269409, 0.135, 0.2025757, 0.135, 0.024292, 0.135, 0.3149414, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9216919, 0.1485, 0.2071533, 0.1485, 0.0262451, 0.1485, 0.3269653, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9187012, 0.162, 0.2085571, 0.162, 0.0300903, 0.162, 0.3340454, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9125977, 0.1755, 0.2102661, 0.1755, 0.0386353, 0.1755, 0.3485107, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9094238, 0.189, 0.2103271, 0.189, 0.0438843, 0.189, 0.3560181, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9036865, 0.2025, 0.2093506, 0.2025, 0.0518799, 0.2025, 0.3699341, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9009399, 0.216, 0.2080078, 0.216, 0.0560913, 0.216, 0.3765869, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.8963623, 0.2295, 0.2042847, 0.2295, 0.0631104, 0.2295, 0.3883057, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.8942871, 0.243, 0.2018433, 0.243, 0.0661621, 0.243, 0.3939209, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.8904419, 0.2565, 0.1959839, 0.2565, 0.0714722, 0.2565, 0.40448, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.8887329, 0.27, 0.192627, 0.27, 0.0736084, 0.27, 0.4094849, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.8860474, 0.2835, 0.1851196, 0.2835, 0.0766602, 0.2835, 0.4180908, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.8850098, 0.297, 0.1809692, 0.297, 0.0779419, 0.297, 0.421814, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.8835449, 0.3105, 0.1709595, 0.3105, 0.079834, 0.3105, 0.4286499, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.8830566, 0.324, 0.1652832, 0.324, 0.0800171, 0.324, 0.4318237, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.8821411, 0.3375, 0.1529541, 0.3375, 0.0792847, 0.3375, 0.4382935, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.8812256, 0.351, 0.1392822, 0.351, 0.0771484, 0.351, 0.4450684, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.8805542, 0.3645, 0.131897, 0.3645, 0.0755005, 0.3645, 0.4488525, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.8790283, 0.378, 0.1160278, 0.378, 0.0715942, 0.378, 0.4568481, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.8781738, 0.3915, 0.1074829, 0.3915, 0.069397, 0.3915, 0.4609985, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.8754272, 0.405, 0.0913696, 0.405, 0.0635376, 0.405, 0.4703979, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.8739014, 0.4185, 0.0835571, 0.4185, 0.0608521, 0.4185, 0.4749756, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.8709717, 0.432, 0.0683594, 0.432, 0.0556641, 0.432, 0.4833984, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.8695068, 0.4455, 0.0615234, 0.4455, 0.0529785, 0.4455, 0.4871826, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.8670654, 0.459, 0.0491943, 0.459, 0.0474854, 0.459, 0.4934692, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.8660278, 0.4725, 0.0438843, 0.4725, 0.0449219, 0.4725, 0.4959717, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.8643188, 0.486, 0.0353394, 0.486, 0.0405273, 0.486, 0.500061, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.8636475, 0.4995, 0.0319824, 0.4995, 0.0385132, 0.4995, 0.5016479, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.862793, 0.513, 0.026001, 0.513, 0.0351562, 0.513, 0.5036621, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.8624878, 0.5265, 0.0236206, 0.5265, 0.0336914, 0.5265, 0.5043945, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.8619995, 0.54, 0.0199585, 0.54, 0.0308838, 0.54, 0.5055542, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.8616943, 0.5535, 0.017395, 0.5535, 0.0284424, 0.5535, 0.5063477, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.8614502, 0.567, 0.0165405, 0.567, 0.0276489, 0.567, 0.5067749, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.861145, 0.5805, 0.0146484, 0.5805, 0.0268555, 0.5805, 0.5074463, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.8609619, 0.594, 0.0142822, 0.594, 0.0264893, 0.594, 0.5078125, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.8604126, 0.6075, 0.0137329, 0.6075, 0.0264893, 0.6075, 0.508728, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.8601074, 0.621, 0.0135498, 0.621, 0.0266113, 0.621, 0.5092163, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.8598633, 0.6345, 0.0136108, 0.6345, 0.0269165, 0.6345, 0.5095825, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.8599243, 0.648, 0.013855, 0.648, 0.0272217, 0.648, 0.5094604, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.8603516, 0.6615, 0.0150146, 0.6615, 0.027832, 0.6615, 0.5087891, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.8605957, 0.675, 0.0161133, 0.675, 0.0280762, 0.675, 0.5082397, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.8613892, 0.6885, 0.0199585, 0.6885, 0.0282593, 0.6885, 0.5067139, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.8621216, 0.702, 0.022644, 0.702, 0.0285645, 0.702, 0.5054321, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.8638916, 0.7155, 0.0288696, 0.7155, 0.0296631, 0.7155, 0.5020142, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.8652344, 0.729, 0.0323486, 0.729, 0.0303955, 0.729, 0.4994507, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.8674927, 0.7425, 0.0401611, 0.7425, 0.0316772, 0.7425, 0.494751, , , , , , , , , , , , , , , , , , , , , , 
0.756, 0.8696899, 0.756, 0.0497437, 0.756, 0.0322876, 0.756, 0.4900513, , , , , , , , , , , , , , , , , , , , , , 
0.7695, 0.8708496, 0.7695, 0.0551147, 0.7695, 0.0324707, 0.7695, 0.4873047, , , , , , , , , , , , , , , , , , , , , , 
0.783, 0.8739014, 0.783, 0.0667725, 0.783, 0.0324707, 0.783, 0.4803467, , , , , , , , , , , , , , , , , , , , , , 
0.7965, 0.8756714, 0.7965, 0.0731812, 0.7965, 0.0325317, 0.7965, 0.4761963, , , , , , , , , , , , , , , , , , , , , , 
0.81, 0.8790894, 0.81, 0.0869751, 0.81, 0.032959, 0.81, 0.4675293, , , , , , , , , , , , , , , , , , , , , , 
0.8235, 0.8806152, 0.8235, 0.0940552, 0.8235, 0.0332642, 0.8235, 0.4632568, , , , , , , , , , , , , , , , , , , , , , 
0.837, 0.8831787, 0.837, 0.1090698, 0.837, 0.0336304, 0.837, 0.4549561, , , , , , , , , , , , , , , , , , , , , , 
0.8505, 0.8843384, 0.8505, 0.1167603, 0.8505, 0.0336304, 0.8505, 0.4507446, , , , , , , , , , , , , , , , , , , , , , 
0.864, 0.8860474, 0.864, 0.1337891, 0.864, 0.0334473, 0.864, 0.442688, , , , , , , , , , , , , , , , , , , , , , 
0.8775, 0.8868408, 0.8775, 0.1425171, 0.8775, 0.0338745, 0.8775, 0.4382324, , , , , , , , , , , , , , , , , , , , , , 
0.891, 0.8884888, 0.891, 0.1594849, 0.891, 0.0362549, 0.891, 0.428772, , , , , , , , , , , , , , , , , , , , , , 
0.9045, 0.8891602, 0.9045, 0.1668091, 0.9045, 0.0379028, 0.9045, 0.4244385, , , , , , , , , , , , , , , , , , , , , , 
0.918, 0.8909302, 0.918, 0.1780396, 0.918, 0.0394287, 0.918, 0.4159546, , , , , , , , , , , , , , , , , , , , , , 
0.9315, 0.8919067, 0.9315, 0.1824341, 0.9315, 0.0396729, 0.9315, 0.4118652, , , , , , , , , , , , , , , , , , , , , , 
0.945, 0.8935547, 0.945, 0.1901855, 0.945, 0.0413208, 0.945, 0.4046021, , , , , , , , , , , , , , , , , , , , , , 
0.9585, 0.8943481, 0.9585, 0.1931763, 0.9585, 0.0422363, 0.9585, 0.4013062, , , , , , , , , , , , , , , , , , , , , , 
0.972, 0.8959961, 0.972, 0.1969604, 0.972, 0.0449219, 0.972, 0.3954468, , , , , , , , , , , , , , , , , , , , , , 
0.9855, 0.8973999, 0.9855, 0.1977539, 0.9855, 0.0481567, 0.9855, 0.3914795, , , , , , , , , , , , , , , , , , , , , , 
0.999, 0.8978271, 0.999, 0.1980591, 0.999, 0.0499268, 0.999, 0.3901367, , , , , , , , , , , , , , , , , , , , , , 
1.0125, 0.8986206, 1.0125, 0.1975098, 1.0125, 0.0518799, 1.0125, 0.3883667, , , , , , , , , , , , , , , , , , , , , , 
1.026, 0.8989258, 1.026, 0.1972046, 1.026, 0.0524902, 1.026, 0.3877563, , , , , , , , , , , , , , , , , , , , , , 
1.0395, 0.8996582, 1.0395, 0.1967163, 1.0395, 0.0526123, 1.0395, 0.3862305, , , , , , , , , , , , , , , , , , , , , , 
1.053, 0.9000244, 1.053, 0.1967163, 1.053, 0.0526123, 1.053, 0.385376, , , , , , , , , , , , , , , , , , , , , , 
1.0665, 0.9006958, 1.0665, 0.1972046, 1.0665, 0.0525513, 1.0665, 0.383606, , , , , , , , , , , , , , , , , , , , , , 
1.08, 0.901001, 1.08, 0.1975098, 1.08, 0.0524292, 1.08, 0.3826904, , , , , , , , , , , , , , , , , , , , , , 
1.0935, 0.9014893, 1.0935, 0.1983643, 1.0935, 0.0525513, 1.0935, 0.3810425, , , , , , , , , , , , , , , , , , , , , , 
1.107, 0.9016724, 1.107, 0.1987915, 1.107, 0.0527344, 1.107, 0.3804321, , , , , , , , , , , , , , , , , , , , , , 
1.1205, 0.9017944, 1.1205, 0.199646, 1.1205, 0.0531616, 1.1205, 0.3795166, , , , , , , , , , , , , , , , , , , , , , 
1.134, 0.9019165, 1.134, 0.2000732, 1.134, 0.0533447, 1.134, 0.3790894, , , , , , , , , , , , , , , , , , , , , , 
1.1475, 0.9019775, 1.1475, 0.2008057, 1.1475, 0.0536499, 1.1475, 0.378418, , , , , , , , , , , , , , , , , , , , , , 
1.161, 0.9019165, 1.161, 0.2012329, 1.161, 0.0537109, 1.161, 0.3783569, , , , , , , , , , , , , , , , , , , , , , 
1.1745, 0.9018555, 1.1745, 0.201355, 1.1745, 0.0537109, 1.1745, 0.378418, , , , , , , , , , , , , , , , , , , , , , 
1.188, 0.9016724, 1.188, 0.201355, 1.188, 0.0535889, 1.188, 0.3789062, , , , , , , , , , , , , , , , , , , , , , 
1.2015, 0.9015503, 1.2015, 0.2012329, 1.2015, 0.0535278, 1.2015, 0.3792725, , , , , , , , , , , , , , , , , , , , , , 
1.215, 0.9012451, 1.215, 0.2008667, 1.215, 0.0533447, 1.215, 0.380249, , , , , , , , , , , , , , , , , , , , , , 
1.2285, 0.901001, 1.2285, 0.2006226, 1.2285, 0.0533447, 1.2285, 0.3809204, , , , , , , , , , , , , , , , , , , , , , 
1.242, 0.9006958, 1.242, 0.2000122, 1.242, 0.0536499, 1.242, 0.381958, , , , , , , , , , , , , , , , , , , , , , 
1.2555, 0.9005127, 1.2555, 0.199707, 1.2555, 0.053772, 1.2555, 0.3824463, , , , , , , , , , , , , , , , , , , , , , 
1.269, 0.9002686, 1.269, 0.1989136, 1.269, 0.0541382, 1.269, 0.3834229, , , , , , , , , , , , , , , , , , , , , , 
1.2825, 0.9002075, 1.2825, 0.1985474, 1.2825, 0.0541992, 1.2825, 0.3837891, , , , , , , , , , , , , , , , , , , , , , 
1.296, 0.8999634, 1.296, 0.197937, 1.296, 0.0543213, 1.296, 0.3845825, , , , , , , , , , , , , , , , , , , , , , 
1.3095, 0.8999634, 1.3095, 0.1976929, 1.3095, 0.0543213, 1.3095, 0.3847656, , , , , , , , , , , , , , , , , , , , , , 
1.323, 0.8999023, 1.323, 0.1975708, 1.323, 0.0543213, 1.323, 0.3849487, , , , , , , , , , , , , , , , , , , , , , 
1.3365, 0.8999023, 1.3365, 0.1975098, 1.3365, 0.0543823, 1.3365, 0.3848877, , , , , , , , , , , , , , , , , , , , , , 
1.35, 0.9000854, 1.35, 0.1974487, 1.35, 0.0545044, 1.35, 0.3846436, , , , , , , , , , , , , , , , , , , , , , 
1.3635, 0.9002075, 1.3635, 0.1975098, 1.3635, 0.0546265, 1.3635, 0.3841553, , , , , , , , , , , , , , , , , , , , , , 
1.377, 0.9003296, 1.377, 0.1976318, 1.377, 0.0547485, 1.377, 0.3839111, , , , , , , , , , , , , , , , , , , , , , 
1.3905, 0.9004517, 1.3905, 0.1978149, 1.3905, 0.0550537, 1.3905, 0.3834839, , , , , , , , , , , , , , , , , , , , , , 
1.404, 0.9005127, 1.404, 0.197876, 1.404, 0.0551758, 1.404, 0.3832397, , , , , , , , , , , , , , , , , , , , , , 
1.4175, 0.9006958, 1.4175, 0.197998, 1.4175, 0.0552979, 1.4175, 0.3827515, , , , , , , , , , , , , , , , , , , , , , 
1.431, 0.9008179, 1.431, 0.1980591, 1.431, 0.0552979, 1.431, 0.3824463, , , , , , , , , , , , , , , , , , , , , , 
1.4445, 0.901062, 1.4445, 0.1983032, 1.4445, 0.0552979, 1.4445, 0.3816528, , , , , , , , , , , , , , , , , , , , , , 
1.458, 0.9011841, 1.458, 0.1984253, 1.458, 0.0553589, 1.458, 0.3813477, , , , , , , , , , , , , , , , , , , , , , 
1.4715, 0.9013062, 1.4715, 0.1986084, 1.4715, 0.055603, 1.4715, 0.3809204, , , , , , , , , , , , , , , , , , , , , , 
1.485, 0.9013062, 1.485, 0.1987305, 1.485, 0.0557861, 1.485, 0.3807983, , , , , , , , , , , , , , , , , , , , , , 
1.4985, 0.9015503, 1.4985, 0.1989746, 1.4985, 0.0560303, 1.4985, 0.380127, , , , , , , , , , , , , , , , , , , , , , 
1.512, 0.9016113, 1.512, 0.1990967, 1.512, 0.0561523, 1.512, 0.3798828, , , , , , , , , , , , , , , , , , , , , , 
1.5255, 0.9018555, 1.5255, 0.1992798, 1.5255, 0.0563965, 1.5255, 0.3792114, , , , , , , , , , , , , , , , , , , , , , 
1.539, 0.9019775, 1.539, 0.1994629, 1.539, 0.0564575, 1.539, 0.3788452, , , , , , , , , , , , , , , , , , , , , , 
1.5525, 0.9022217, 1.5525, 0.199585, 1.5525, 0.0565186, 1.5525, 0.3781738, , , , , , , , , , , , , , , , , , , , , , 
1.566, 0.9024048, 1.566, 0.1998901, 1.566, 0.0565796, 1.566, 0.3774414, , , , , , , , , , , , , , , , , , , , , , 
1.5795, 0.9025269, 1.5795, 0.2000122, 1.5795, 0.0565796, 1.5795, 0.3771362, , , , , , , , , , , , , , , , , , , , , , 
1.593, 0.902771, 1.593, 0.2001953, 1.593, 0.0566406, 1.593, 0.3764038, , , , , , , , , , , , , , , , , , , , , , 
1.6065, 0.9028931, 1.6065, 0.2001953, 1.6065, 0.0566406, 1.6065, 0.3761597, , , , , , , , , , , , , , , , , , , , , , 
1.62, 0.9030762, 1.62, 0.2002563, 1.62, 0.0567627, 1.62, 0.3756714, , , , , , , , , , , , , , , , , , , , , , 
1.6335, 0.9031982, 1.6335, 0.2002563, 1.6335, 0.0567627, 1.6335, 0.3754272, , , , , , , , , , , , , , , , , , , , , , 
1.647, 0.9033813, 1.647, 0.2001953, 1.647, 0.0568848, 1.647, 0.375, , , , , , , , , , , , , , , , , , , , , , 
1.6605, 0.9033813, 1.6605, 0.2001343, 1.6605, 0.0569458, 1.6605, 0.374939, , , , , , , , , , , , , , , , , , , , , , 
1.674, 0.9035034, 1.674, 0.2001343, 1.674, 0.0569458, 1.674, 0.3747559, , , , , , , , , , , , , , , , , , , , , , 
1.6875, 0.9035034, 1.6875, 0.2001343, 1.6875, 0.0570068, 1.6875, 0.3746338, , , , , , , , , , , , , , , , , , , , , , 
1.701, 0.9035645, 1.701, 0.2001343, 1.701, 0.0570068, 1.701, 0.3745117, , , , , , , , , , , , , , , , , , , , , , 
1.7145, 0.9036255, 1.7145, 0.2001343, 1.7145, 0.0571289, 1.7145, 0.3744507, , , , , , , , , , , , , , , , , , , , , , 
1.728, 0.9036255, 1.728, 0.2000732, 1.728, 0.057312, 1.728, 0.3743286, , , , , , , , , , , , , , , , , , , , , , 
1.7415, 0.9036865, 1.7415, 0.2000122, 1.7415, 0.057373, 1.7415, 0.3742676, , , , , , , , , , , , , , , , , , , , , , 
1.755, 0.9037476, 1.755, 0.2000122, 1.755, 0.057312, 1.755, 0.3741455, , , , , , , , , , , , , , , , , , , , , , 
1.7685, 0.9038086, 1.7685, 0.2000732, 1.7685, 0.057251, 1.7685, 0.3739624, , , , , , , , , , , , , , , , , , , , , , 
1.782, 0.9038086, 1.782, 0.2000122, 1.782, 0.057251, 1.782, 0.3739014, , , , , , , , , , , , , , , , , , , , , , 
1.7955, 0.9038696, 1.7955, 0.1998291, 1.7955, 0.057312, 1.7955, 0.3739624, , , , , , , , , , , , , , , , , , , , , , 
1.809, 0.9038696, 1.809, 0.199646, 1.809, 0.057373, 1.809, 0.3740234, , , , , , , , , , , , , , , , , , , , , , 
1.8225, 0.9038086, 1.8225, 0.1991577, 1.8225, 0.0576782, 1.8225, 0.3743896, , , , , , , , , , , , , , , , , , , , , , 
