Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 17:03:08
Collection Length (seconds):, 46.413
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9098511, 0, 0.2241821, 0, 0.0200806, 0, 0.3485107, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.90979, 0.0135, 0.2242432, 0.0135, 0.0202026, 0.0135, 0.3486328, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.909729, 0.027, 0.2243042, 0.027, 0.0203247, 0.027, 0.348877, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.909668, 0.0405, 0.2243042, 0.0405, 0.0204468, 0.0405, 0.348999, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9096069, 0.054, 0.2243652, 0.054, 0.0206299, 0.054, 0.3491211, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9095459, 0.0675, 0.2244263, 0.0675, 0.020752, 0.0675, 0.3491211, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9094849, 0.081, 0.2245483, 0.081, 0.020874, 0.081, 0.3493042, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9094849, 0.0945, 0.2245483, 0.0945, 0.0209961, 0.0945, 0.3492432, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9093628, 0.108, 0.2247314, 0.108, 0.0212402, 0.108, 0.3493652, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9093628, 0.1215, 0.2247314, 0.1215, 0.0213623, 0.1215, 0.3494873, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9092407, 0.135, 0.2247314, 0.135, 0.0216675, 0.135, 0.3497925, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9091797, 0.1485, 0.2247925, 0.1485, 0.0218506, 0.1485, 0.3498535, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9091187, 0.162, 0.2248535, 0.162, 0.0220337, 0.162, 0.3499756, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9089966, 0.1755, 0.2248535, 0.1755, 0.0223389, 0.1755, 0.3501587, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9089966, 0.189, 0.2249756, 0.189, 0.0223999, 0.189, 0.3502197, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9089355, 0.2025, 0.2250977, 0.2025, 0.022522, 0.2025, 0.3502197, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9089355, 0.216, 0.2251587, 0.216, 0.022583, 0.216, 0.3502808, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9088745, 0.2295, 0.2252808, 0.2295, 0.022644, 0.2295, 0.3503418, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.9088135, 0.243, 0.2253418, 0.243, 0.0227051, 0.243, 0.3504028, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.9087524, 0.2565, 0.2254028, 0.2565, 0.0228271, 0.2565, 0.3505249, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.9086914, 0.27, 0.2254639, 0.27, 0.0229492, 0.27, 0.3505859, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.9085693, 0.2835, 0.2255859, 0.2835, 0.0231323, 0.2835, 0.3508911, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.9085083, 0.297, 0.225647, 0.297, 0.0231934, 0.297, 0.3509521, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.9084473, 0.3105, 0.225769, 0.3105, 0.0233154, 0.3105, 0.3510132, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.9083862, 0.324, 0.2258301, 0.324, 0.0233765, 0.324, 0.3511353, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.9083252, 0.3375, 0.2258911, 0.3375, 0.0234985, 0.3375, 0.3513184, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.9083252, 0.351, 0.2259521, 0.351, 0.0234985, 0.351, 0.3512573, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.9083252, 0.3645, 0.2260742, 0.3645, 0.0236206, 0.3645, 0.3511353, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.9082031, 0.378, 0.2261353, 0.378, 0.0238037, 0.378, 0.3513184, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.9082031, 0.3915, 0.2261963, 0.3915, 0.0238647, 0.3915, 0.3513184, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.9080811, 0.405, 0.2263184, 0.405, 0.0239868, 0.405, 0.3515015, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.9080811, 0.4185, 0.2263794, 0.4185, 0.0240479, 0.4185, 0.3515625, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.907959, 0.432, 0.2265015, 0.432, 0.0241699, 0.432, 0.3517456, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.9078979, 0.4455, 0.2265625, 0.4455, 0.024231, 0.4455, 0.3518677, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.9077759, 0.459, 0.2266235, 0.459, 0.024292, 0.459, 0.3520508, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.9077759, 0.4725, 0.2266846, 0.4725, 0.024353, 0.4725, 0.3520508, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.9077759, 0.486, 0.2267456, 0.486, 0.0244751, 0.486, 0.3520508, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.9077148, 0.4995, 0.2267456, 0.4995, 0.0245972, 0.4995, 0.3521118, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.9076538, 0.513, 0.2268677, 0.513, 0.0247192, 0.513, 0.3522339, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.9076538, 0.5265, 0.2269897, 0.5265, 0.0247192, 0.5265, 0.3522339, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.9075928, 0.54, 0.2271118, 0.54, 0.0248413, 0.54, 0.3522949, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.9075317, 0.5535, 0.2271729, 0.5535, 0.0249023, 0.5535, 0.352356, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.9074707, 0.567, 0.2271729, 0.567, 0.0250244, 0.567, 0.352478, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.9074097, 0.5805, 0.2272339, 0.5805, 0.0252075, 0.5805, 0.3526611, , , , , , , , , , , , , , , , , , , , , , 
