Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:59:22
Collection Length (seconds):, 52.326
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9025879, 0, 0.2214355, 0, 0.0423584, 0, 0.3666992, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9025879, 0.0135, 0.2214355, 0.0135, 0.0424194, 0.0135, 0.3667603, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9025879, 0.027, 0.2214355, 0.027, 0.0422974, 0.027, 0.3666992, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9025879, 0.0405, 0.2214966, 0.0405, 0.0422974, 0.0405, 0.3666992, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9025879, 0.054, 0.2214355, 0.054, 0.0422974, 0.054, 0.3668213, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9025269, 0.0675, 0.2214355, 0.0675, 0.0423584, 0.0675, 0.3669434, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9024658, 0.081, 0.2214966, 0.081, 0.0423584, 0.081, 0.3669434, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9024658, 0.0945, 0.2214355, 0.0945, 0.0422974, 0.0945, 0.3670044, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9025269, 0.108, 0.2214966, 0.108, 0.0422974, 0.108, 0.3669434, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9025879, 0.1215, 0.2214355, 0.1215, 0.0423584, 0.1215, 0.3666992, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9026489, 0.135, 0.2213745, 0.135, 0.0423584, 0.135, 0.3666382, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.90271, 0.1485, 0.2213135, 0.1485, 0.0424194, 0.1485, 0.3665771, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.90271, 0.162, 0.2213135, 0.162, 0.0424194, 0.162, 0.3665771, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.90271, 0.1755, 0.2214355, 0.1755, 0.0424805, 0.1755, 0.3664551, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.90271, 0.189, 0.2213745, 0.189, 0.0425415, 0.189, 0.3665161, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.90271, 0.2025, 0.2213745, 0.2025, 0.0426025, 0.2025, 0.3665161, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.90271, 0.216, 0.2213745, 0.216, 0.0426025, 0.216, 0.3665161, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.90271, 0.2295, 0.2214355, 0.2295, 0.0426636, 0.2295, 0.3664551, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.90271, 0.243, 0.2214966, 0.243, 0.0426636, 0.243, 0.3664551, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.90271, 0.2565, 0.2214966, 0.2565, 0.0426025, 0.2565, 0.366333, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.90271, 0.27, 0.2214966, 0.27, 0.0426636, 0.27, 0.366333, , , , , , , , , , , , , , , , , , , , , , 
