Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:49:53
Collection Length (seconds):, 38.232
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.8429565, 0, 0.1714478, 0, 0.2786255, 0, 0.427002, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.8433838, 0.0135, 0.1729736, 0.0135, 0.2782593, 0.0135, 0.4258423, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.8434448, 0.027, 0.173584, 0.027, 0.2781982, 0.027, 0.4255371, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.8433838, 0.0405, 0.1741333, 0.0405, 0.2781982, 0.0405, 0.425415, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.8433838, 0.054, 0.1743164, 0.054, 0.2782593, 0.054, 0.4252319, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.8434448, 0.0675, 0.1744995, 0.0675, 0.2783813, 0.0675, 0.4251099, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.8435669, 0.081, 0.1744995, 0.081, 0.2783813, 0.081, 0.4248657, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.8438721, 0.0945, 0.1744995, 0.0945, 0.2780762, 0.0945, 0.4243774, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.8441162, 0.108, 0.1744385, 0.108, 0.277832, 0.108, 0.4240723, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.8445435, 0.1215, 0.1743164, 0.1215, 0.2773438, 0.1215, 0.423645, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.8446655, 0.135, 0.1741943, 0.135, 0.2770996, 0.135, 0.4235229, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.8447876, 0.1485, 0.1739502, 0.1485, 0.2767944, 0.1485, 0.423645, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.8446655, 0.162, 0.1737061, 0.162, 0.2766724, 0.162, 0.4241333, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.8444214, 0.1755, 0.173584, 0.1755, 0.2767944, 0.1755, 0.4244995, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.843811, 0.189, 0.1732178, 0.189, 0.2772827, 0.189, 0.4255371, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.8434448, 0.2025, 0.1729126, 0.2025, 0.2775879, 0.2025, 0.4261475, , , , , , , , , , , , , , , , , , , , , , 
