Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:50:56
Collection Length (seconds):, 36.963
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.8374634, 0, 0.1383057, 0, 0.3085327, 0, 0.4292603, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.8384399, 0.0135, 0.1400757, 0.0135, 0.3058472, 0.0135, 0.4287109, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.8388672, 0.027, 0.1409912, 0.027, 0.3046265, 0.027, 0.4284668, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.8397827, 0.0405, 0.1428833, 0.0405, 0.302063, 0.0405, 0.4279175, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.8406372, 0.054, 0.1447754, 0.054, 0.2996826, 0.054, 0.4272461, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.8410645, 0.0675, 0.1456299, 0.0675, 0.298584, 0.0675, 0.4268799, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.8417969, 0.081, 0.1472168, 0.081, 0.2964478, 0.081, 0.4263916, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.8421631, 0.0945, 0.1479492, 0.0945, 0.2954102, 0.0945, 0.4260864, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.8428955, 0.108, 0.149353, 0.108, 0.2935181, 0.108, 0.4255371, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.8432007, 0.1215, 0.1500244, 0.1215, 0.2926025, 0.1215, 0.425293, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.8440552, 0.135, 0.151062, 0.135, 0.2907715, 0.135, 0.4244385, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.8444824, 0.1485, 0.1515503, 0.1485, 0.289856, 0.1485, 0.4240723, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.8452759, 0.162, 0.1522217, 0.162, 0.288147, 0.162, 0.4234619, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.8456421, 0.1755, 0.1525269, 0.1755, 0.2874756, 0.1755, 0.4230957, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.8461914, 0.189, 0.1528931, 0.189, 0.2861938, 0.189, 0.4226685, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.8463745, 0.2025, 0.1530151, 0.2025, 0.2857056, 0.2025, 0.4225464, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.8467407, 0.216, 0.1530762, 0.216, 0.2849731, 0.216, 0.4224243, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.8468628, 0.2295, 0.1531372, 0.2295, 0.2846069, 0.2295, 0.4223633, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.8470459, 0.243, 0.1531982, 0.243, 0.2840576, 0.243, 0.4223022, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.847168, 0.2565, 0.1532593, 0.2565, 0.2837524, 0.2565, 0.4221802, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.847229, 0.27, 0.1531982, 0.27, 0.2837524, 0.27, 0.4221191, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.8470459, 0.2835, 0.152832, 0.2835, 0.2838745, 0.2835, 0.4224854, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.8469238, 0.297, 0.1525269, 0.297, 0.2841797, 0.297, 0.4227295, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.8464355, 0.3105, 0.1516724, 0.3105, 0.2849731, 0.3105, 0.4234619, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.8461304, 0.324, 0.1511841, 0.324, 0.2854004, 0.324, 0.4239502, , , , , , , , , , , , , , , , , , , , , , 
