Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 14:25:39
Collection Length (seconds):, 60.183
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.5265, 0.9420776, 0.5265, 0.2593994, 0.5265, -0.0649414, 0.5265, -0.2024536, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.9420776, 0.54, 0.2593994, 0.54, -0.0649414, 0.54, -0.2023926, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.9420776, 0.5535, 0.2593994, 0.5535, -0.0649414, 0.5535, -0.2022705, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.9421387, 0.567, 0.2593994, 0.567, -0.0649414, 0.567, -0.2022705, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.9421387, 0.5805, 0.2593994, 0.5805, -0.0648804, 0.5805, -0.2022095, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.9421387, 0.594, 0.2593994, 0.594, -0.0648804, 0.594, -0.2021484, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.9421387, 0.6075, 0.2593994, 0.6075, -0.0648804, 0.6075, -0.2021484, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.9421387, 0.621, 0.2594604, 0.621, -0.0648804, 0.621, -0.2021484, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.9421387, 0.6345, 0.2595215, 0.6345, -0.0648804, 0.6345, -0.2021484, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.9421387, 0.648, 0.2595215, 0.648, -0.0648804, 0.648, -0.2020874, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.9421387, 0.6615, 0.2595215, 0.6615, -0.0648804, 0.6615, -0.2020874, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.9421387, 0.675, 0.2595215, 0.675, -0.0648804, 0.675, -0.2020264, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.9421387, 0.6885, 0.2595215, 0.6885, -0.0649414, 0.6885, -0.2020264, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.9421387, 0.702, 0.2595215, 0.702, -0.0648804, 0.702, -0.2019653, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.9421387, 0.7155, 0.2595215, 0.7155, -0.0648804, 0.7155, -0.2019653, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.9421387, 0.729, 0.2595825, 0.729, -0.0648193, 0.729, -0.2019043, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.9421387, 0.7425, 0.2596436, 0.7425, -0.0646973, 0.7425, -0.2017822, , , , , , , , , , , , , , , , , , , , , , 
0.756, 0.9421387, 0.756, 0.2597046, 0.756, -0.0648193, 0.756, -0.2019043, , , , , , , , , , , , , , , , , , , , , , 
0.7695, 0.9420776, 0.7695, 0.2597656, 0.7695, -0.0648193, 0.7695, -0.2019653, , , , , , , , , , , , , , , , , , , , , , 
0.783, 0.9421387, 0.783, 0.2598267, 0.783, -0.0648193, 0.783, -0.2017822, , , , , , , , , , , , , , , , , , , , , , 
0.7965, 0.9421387, 0.7965, 0.2598267, 0.7965, -0.0648193, 0.7965, -0.2017212, , , , , , , , , , , , , , , , , , , , , , 
0.81, 0.9421387, 0.81, 0.2598267, 0.81, -0.0648193, 0.81, -0.2017212, , , , , , , , , , , , , , , , , , , , , , 
0.8235, 0.9421387, 0.8235, 0.2597656, 0.8235, -0.0648193, 0.8235, -0.2017822, , , , , , , , , , , , , , , , , , , , , , 
