Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 14:28:14
Collection Length (seconds):, 59.67
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9348145, 0, 0.2634888, 0, -0.0708618, 0, -0.227356, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9348145, 0.0135, 0.2634888, 0.0135, -0.0708618, 0.0135, -0.2271729, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9348755, 0.027, 0.2636108, 0.027, -0.0708008, 0.027, -0.2269897, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9348755, 0.0405, 0.2636108, 0.0405, -0.0708008, 0.0405, -0.2268677, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9349365, 0.054, 0.2636719, 0.054, -0.0707397, 0.054, -0.2266235, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9349976, 0.0675, 0.2636108, 0.0675, -0.0706787, 0.0675, -0.2265015, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9349976, 0.081, 0.2637329, 0.081, -0.0706177, 0.081, -0.2263794, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9349976, 0.0945, 0.2637939, 0.0945, -0.0705566, 0.0945, -0.2262573, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9351196, 0.108, 0.2645264, 0.108, -0.069519, 0.108, -0.2252808, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9350586, 0.1215, 0.2645874, 0.1215, -0.0695801, 0.1215, -0.2253418, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9351196, 0.135, 0.2646484, 0.135, -0.069458, 0.135, -0.2251587, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9351196, 0.1485, 0.2646484, 0.1485, -0.069397, 0.1485, -0.2250366, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9352417, 0.162, 0.2645264, 0.162, -0.0693359, 0.162, -0.2249146, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9353027, 0.1755, 0.2644653, 0.1755, -0.0692749, 0.1755, -0.2247314, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9353638, 0.189, 0.2644043, 0.189, -0.0690918, 0.189, -0.2244263, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9354248, 0.2025, 0.2644043, 0.2025, -0.0690308, 0.2025, -0.2242432, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9355469, 0.216, 0.2642822, 0.216, -0.0689697, 0.216, -0.223938, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9356079, 0.2295, 0.2642822, 0.2295, -0.0689697, 0.2295, -0.2238159, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.9356079, 0.243, 0.2642212, 0.243, -0.0689087, 0.243, -0.2236938, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.9356689, 0.2565, 0.2642212, 0.2565, -0.0688477, 0.2565, -0.2235718, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.93573, 0.27, 0.2642212, 0.27, -0.0687866, 0.27, -0.2234497, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.935791, 0.2835, 0.2641602, 0.2835, -0.0686646, 0.2835, -0.2232666, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.935791, 0.297, 0.2641602, 0.297, -0.0686646, 0.297, -0.2232666, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.935791, 0.3105, 0.2640991, 0.3105, -0.0685425, 0.3105, -0.2231445, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.9358521, 0.324, 0.2640381, 0.324, -0.0684814, 0.324, -0.2230225, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.9359131, 0.3375, 0.263916, 0.3375, -0.0683594, 0.3375, -0.2229614, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.9359741, 0.351, 0.263855, 0.351, -0.0683594, 0.351, -0.2229004, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.9360352, 0.3645, 0.2637939, 0.3645, -0.0682983, 0.3645, -0.2227173, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.9360352, 0.378, 0.2637329, 0.378, -0.0682983, 0.378, -0.2227173, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.9360962, 0.3915, 0.2636719, 0.3915, -0.0682373, 0.3915, -0.2225342, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.9360962, 0.405, 0.2636719, 0.405, -0.0682373, 0.405, -0.2225342, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.9362183, 0.4185, 0.2636719, 0.4185, -0.0681763, 0.4185, -0.222229, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.9362793, 0.432, 0.2637329, 0.432, -0.0679321, 0.432, -0.2219238, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.9363403, 0.4455, 0.2637329, 0.4455, -0.0678101, 0.4455, -0.2217407, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.9364014, 0.459, 0.263855, 0.459, -0.0675659, 0.459, -0.2213745, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.9364014, 0.4725, 0.263916, 0.4725, -0.0675049, 0.4725, -0.2211914, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.9364624, 0.486, 0.263855, 0.486, -0.0674438, 0.486, -0.2211914, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.9364624, 0.4995, 0.263855, 0.4995, -0.0673828, 0.4995, -0.2210693, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.9365234, 0.513, 0.263855, 0.513, -0.0672607, 0.513, -0.2209473, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.9365234, 0.5265, 0.263855, 0.5265, -0.0671997, 0.5265, -0.2209473, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.9365845, 0.54, 0.263916, 0.54, -0.0670166, 0.54, -0.2207031, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.9365845, 0.5535, 0.263916, 0.5535, -0.0669556, 0.5535, -0.2205811, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.9366455, 0.567, 0.263916, 0.567, -0.0668335, 0.567, -0.2203979, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.9366455, 0.5805, 0.2639771, 0.5805, -0.0667725, 0.5805, -0.2203369, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.9367065, 0.594, 0.2639771, 0.594, -0.0665894, 0.594, -0.2200928, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.9367676, 0.6075, 0.2639771, 0.6075, -0.0665894, 0.6075, -0.2199707, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.9367676, 0.621, 0.2640381, 0.621, -0.0665283, 0.621, -0.2197876, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.9368286, 0.6345, 0.2640381, 0.6345, -0.0665283, 0.6345, -0.2196045, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.9368896, 0.648, 0.2640381, 0.648, -0.0664673, 0.648, -0.2194824, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.9369507, 0.6615, 0.2640991, 0.6615, -0.0663452, 0.6615, -0.2191772, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.9369507, 0.675, 0.2640381, 0.675, -0.0662842, 0.675, -0.2191162, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.9369507, 0.6885, 0.2640991, 0.6885, -0.0662842, 0.6885, -0.2189941, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.9370117, 0.702, 0.2640991, 0.702, -0.0662231, 0.702, -0.218811, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.9370728, 0.7155, 0.2640381, 0.7155, -0.0662231, 0.7155, -0.218689, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.9370728, 0.729, 0.2640381, 0.729, -0.0661621, 0.729, -0.2186279, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.9371338, 0.7425, 0.2639771, 0.7425, -0.0662231, 0.7425, -0.2185059, , , , , , , , , , , , , , , , , , , , , , 
0.756, 0.9371338, 0.756, 0.2639771, 0.756, -0.0662231, 0.756, -0.2184448, , , , , , , , , , , , , , , , , , , , , , 
0.7695, 0.9371338, 0.7695, 0.2640381, 0.7695, -0.0662231, 0.7695, -0.2183838, , , , , , , , , , , , , , , , , , , , , , 
0.783, 0.9371948, 0.783, 0.2639771, 0.783, -0.0662231, 0.783, -0.2183228, , , , , , , , , , , , , , , , , , , , , , 
0.7965, 0.9372559, 0.7965, 0.2639771, 0.7965, -0.0662231, 0.7965, -0.2180176, , , , , , , , , , , , , , , , , , , , , , 
0.81, 0.9372559, 0.81, 0.2639771, 0.81, -0.0661621, 0.81, -0.2179565, , , , , , , , , , , , , , , , , , , , , , 
0.8235, 0.9372559, 0.8235, 0.2639771, 0.8235, -0.0662231, 0.8235, -0.2178345, , , , , , , , , , , , , , , , , , , , , , 
0.837, 0.9373169, 0.837, 0.2639771, 0.837, -0.0662842, 0.837, -0.2177734, , , , , , , , , , , , , , , , , , , , , , 
0.8505, 0.9373169, 0.8505, 0.2639771, 0.8505, -0.0662842, 0.8505, -0.2177124, , , , , , , , , , , , , , , , , , , , , , 
0.864, 0.9373169, 0.864, 0.2639771, 0.864, -0.0662842, 0.864, -0.2175293, , , , , , , , , , , , , , , , , , , , , , 
0.8775, 0.9373169, 0.8775, 0.2639771, 0.8775, -0.0662842, 0.8775, -0.2174683, , , , , , , , , , , , , , , , , , , , , , 
0.891, 0.9373779, 0.891, 0.2639771, 0.891, -0.0662842, 0.891, -0.2174072, , , , , , , , , , , , , , , , , , , , , , 
0.9045, 0.937439, 0.9045, 0.2639771, 0.9045, -0.0662231, 0.9045, -0.2172241, , , , , , , , , , , , , , , , , , , , , , 
0.918, 0.9375, 0.918, 0.2639771, 0.918, -0.0661621, 0.918, -0.21698, , , , , , , , , , , , , , , , , , , , , , 
0.9315, 0.9375, 0.9315, 0.2640381, 0.9315, -0.0661621, 0.9315, -0.2169189, , , , , , , , , , , , , , , , , , , , , , 
0.945, 0.937439, 0.945, 0.2640381, 0.945, -0.0662231, 0.945, -0.2169189, , , , , , , , , , , , , , , , , , , , , , 
