Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:37:04
Collection Length (seconds):, 42.4575
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9465942, 0, 0.1296997, 0, 0.0616455, 0, 0.2886353, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9465942, 0.0135, 0.1296387, 0.0135, 0.0617676, 0.0135, 0.2886353, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9465942, 0.027, 0.1295776, 0.027, 0.0617676, 0.027, 0.2886353, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9465942, 0.0405, 0.1293945, 0.0405, 0.0619507, 0.0405, 0.2887573, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9465942, 0.054, 0.1293945, 0.054, 0.0620728, 0.054, 0.2888184, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9465332, 0.0675, 0.1291504, 0.0675, 0.0622559, 0.0675, 0.2890015, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9464722, 0.081, 0.1291504, 0.081, 0.0623779, 0.081, 0.2890625, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9464722, 0.0945, 0.1290283, 0.0945, 0.062439, 0.0945, 0.2891235, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9464722, 0.108, 0.1289673, 0.108, 0.062439, 0.108, 0.2891846, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9464722, 0.1215, 0.1289062, 0.1215, 0.0625, 0.1215, 0.2893066, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9464111, 0.135, 0.1289062, 0.135, 0.062561, 0.135, 0.2893677, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9464111, 0.1485, 0.1289062, 0.1485, 0.0626221, 0.1485, 0.2893677, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9464722, 0.162, 0.1287842, 0.162, 0.0626831, 0.162, 0.2892456, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9465332, 0.1755, 0.1286621, 0.1755, 0.0627441, 0.1755, 0.2891846, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9465332, 0.189, 0.12854, 0.189, 0.0627441, 0.189, 0.2892456, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9465332, 0.2025, 0.128479, 0.2025, 0.0628052, 0.2025, 0.2892456, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9464722, 0.216, 0.128418, 0.216, 0.0628052, 0.216, 0.2893066, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9464722, 0.2295, 0.1283569, 0.2295, 0.0628662, 0.2295, 0.2893677, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.9464722, 0.243, 0.1282349, 0.243, 0.0628662, 0.243, 0.2894287, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.9464722, 0.2565, 0.1281738, 0.2565, 0.0629272, 0.2565, 0.2894287, , , , , , , , , , , , , , , , , , , , , , 
