Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:34:33
Collection Length (seconds):, 46.656
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9433594, 0, 0.1473999, 0, 0.0496826, 0, 0.2930298, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9433594, 0.0135, 0.1474609, 0.0135, 0.0496216, 0.0135, 0.2929688, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9433594, 0.027, 0.147522, 0.027, 0.0496216, 0.027, 0.2929688, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9434204, 0.0405, 0.147583, 0.0405, 0.0494995, 0.0405, 0.2927856, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9434204, 0.054, 0.147583, 0.054, 0.0494995, 0.054, 0.2927246, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9434814, 0.0675, 0.147522, 0.0675, 0.0494385, 0.0675, 0.2926636, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9434814, 0.081, 0.147583, 0.081, 0.0494385, 0.081, 0.2926025, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9435425, 0.0945, 0.147583, 0.0945, 0.0494385, 0.0945, 0.2924805, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9435425, 0.108, 0.147583, 0.108, 0.0494385, 0.108, 0.2924194, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9435425, 0.1215, 0.147583, 0.1215, 0.0494385, 0.1215, 0.2924194, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9435425, 0.135, 0.147583, 0.135, 0.0494995, 0.135, 0.2923584, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9436035, 0.1485, 0.1474609, 0.1485, 0.0494385, 0.1485, 0.2923584, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9435425, 0.162, 0.1473999, 0.162, 0.0494995, 0.162, 0.2924194, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9435425, 0.1755, 0.1473999, 0.1755, 0.0494995, 0.1755, 0.2924194, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9436035, 0.189, 0.1472168, 0.189, 0.0495605, 0.189, 0.2924805, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9436035, 0.2025, 0.1472168, 0.2025, 0.0494995, 0.2025, 0.2924805, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9436035, 0.216, 0.1471558, 0.216, 0.0495605, 0.216, 0.2923584, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9436035, 0.2295, 0.1472168, 0.2295, 0.0495605, 0.2295, 0.2924194, , , , , , , , , , , , , , , , , , , , , , 
