Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:09:05
Collection Length (seconds):, 66.339
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.932312, 0, 0.1732788, 0, 0.0931396, 0, 0.3034668, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.932312, 0.0135, 0.1737671, 0.0135, 0.0932007, 0.0135, 0.3031006, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9324341, 0.027, 0.1746826, 0.027, 0.0931396, 0.027, 0.3022461, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9324951, 0.0405, 0.1751099, 0.0405, 0.0931396, 0.0405, 0.3017578, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9326172, 0.054, 0.1761475, 0.054, 0.0933228, 0.054, 0.3008423, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9326782, 0.0675, 0.1767578, 0.0675, 0.0933838, 0.0675, 0.3002319, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9328613, 0.081, 0.1781006, 0.081, 0.0935669, 0.081, 0.2988281, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9329834, 0.0945, 0.178772, 0.0945, 0.0936279, 0.0945, 0.2980957, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9331665, 0.108, 0.1799316, 0.108, 0.0939331, 0.108, 0.2967529, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9332886, 0.1215, 0.1811523, 0.1215, 0.0941772, 0.1215, 0.2954102, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9333496, 0.135, 0.1817627, 0.135, 0.0942993, 0.135, 0.2947998, , , , , , , , , , , , , , , , , , , , , , 
