Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 16:10:37
Collection Length (seconds):, 59.3865
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9389038, 0, 0.215332, 0, 0.0794678, 0, 0.2564697, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9389648, 0.0135, 0.21521, 0.0135, 0.0794067, 0.0135, 0.2564087, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9389648, 0.027, 0.21521, 0.027, 0.0794067, 0.027, 0.2564087, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9389648, 0.0405, 0.2151489, 0.0405, 0.0794067, 0.0405, 0.2563477, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9390259, 0.054, 0.2150879, 0.054, 0.0793457, 0.054, 0.2562866, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9390259, 0.0675, 0.2150879, 0.0675, 0.0793457, 0.0675, 0.2563477, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9390259, 0.081, 0.2150879, 0.081, 0.0793457, 0.081, 0.2563477, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9390259, 0.0945, 0.2151489, 0.0945, 0.0792847, 0.0945, 0.2562256, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9390259, 0.108, 0.2151489, 0.108, 0.0793457, 0.108, 0.2562866, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9390259, 0.1215, 0.21521, 0.1215, 0.0791626, 0.1215, 0.2562866, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9389648, 0.135, 0.2151489, 0.135, 0.0791626, 0.135, 0.2564087, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9390259, 0.1485, 0.2150879, 0.1485, 0.0791626, 0.1485, 0.2564087, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9390259, 0.162, 0.2149658, 0.162, 0.0791016, 0.162, 0.2563477, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9390869, 0.1755, 0.2149048, 0.1755, 0.0791016, 0.1755, 0.2562866, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9391479, 0.189, 0.2149048, 0.189, 0.0789795, 0.189, 0.2560425, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.939209, 0.2025, 0.2149048, 0.2025, 0.0789185, 0.2025, 0.2558594, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9393311, 0.216, 0.2147827, 0.216, 0.0787964, 0.216, 0.2556152, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9393311, 0.2295, 0.2147827, 0.2295, 0.0787964, 0.2295, 0.2554932, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.9393921, 0.243, 0.2146606, 0.243, 0.0787964, 0.243, 0.2553711, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.9394531, 0.2565, 0.2145996, 0.2565, 0.0787964, 0.2565, 0.255249, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.9395142, 0.27, 0.2144775, 0.27, 0.0788574, 0.27, 0.255188, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.9395142, 0.2835, 0.2144165, 0.2835, 0.0788574, 0.2835, 0.255188, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.9395142, 0.297, 0.2144165, 0.297, 0.0787354, 0.297, 0.255127, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.9395752, 0.3105, 0.2143555, 0.3105, 0.0786743, 0.3105, 0.2550659, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.9396362, 0.324, 0.2142944, 0.324, 0.0786133, 0.324, 0.2550049, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.9396362, 0.3375, 0.2142334, 0.3375, 0.0786133, 0.3375, 0.2549438, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.9396362, 0.351, 0.2141724, 0.351, 0.0786133, 0.351, 0.2549438, , , , , , , , , , , , , , , , , , , , , , 
