Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 14:43:00
Collection Length (seconds):, 43.3485
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9025269, 0, 0.1534424, 0, -0.2125854, 0, -0.3416138, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9025269, 0.0135, 0.1535645, 0.0135, -0.2124023, 0.0135, -0.3416748, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9024658, 0.027, 0.1537476, 0.027, -0.211853, 0.027, -0.342041, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9024658, 0.0405, 0.1538696, 0.0405, -0.2115479, 0.0405, -0.3421631, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9024048, 0.054, 0.1542358, 0.054, -0.2109985, 0.054, -0.3425903, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9023438, 0.0675, 0.1543579, 0.0675, -0.2107544, 0.0675, -0.3428955, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9021606, 0.081, 0.15448, 0.081, -0.2102051, 0.081, -0.3435059, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9020386, 0.0945, 0.1546021, 0.0945, -0.2097168, 0.0945, -0.3441162, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9019775, 0.108, 0.1546021, 0.108, -0.2095337, 0.108, -0.3443604, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9018555, 0.1215, 0.1546631, 0.1215, -0.2092285, 0.1215, -0.3449097, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9017944, 0.135, 0.1546631, 0.135, -0.2091064, 0.135, -0.3452148, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9016724, 0.1485, 0.1548462, 0.1485, -0.2088623, 0.1485, -0.3455811, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9016113, 0.162, 0.1549072, 0.162, -0.2088013, 0.162, -0.3457031, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9016113, 0.1755, 0.1550903, 0.1755, -0.2086182, 0.1755, -0.3457642, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9015503, 0.189, 0.1551514, 0.189, -0.2085571, 0.189, -0.3458252, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9014893, 0.2025, 0.1553955, 0.2025, -0.2084961, 0.2025, -0.3460083, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9014282, 0.216, 0.1555176, 0.216, -0.2084351, 0.216, -0.3460083, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9013672, 0.2295, 0.1558838, 0.2295, -0.2084351, 0.2295, -0.3460083, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.9013672, 0.243, 0.1560669, 0.243, -0.2084351, 0.243, -0.3460083, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.9014893, 0.2565, 0.1564941, 0.2565, -0.2081299, 0.2565, -0.3457031, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.9016113, 0.27, 0.1566772, 0.27, -0.2079468, 0.27, -0.345459, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.9017944, 0.2835, 0.1571045, 0.2835, -0.2076416, 0.2835, -0.3449097, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.9020386, 0.297, 0.1574707, 0.297, -0.2072754, 0.297, -0.3443604, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.9020996, 0.3105, 0.1575928, 0.3105, -0.2070923, 0.3105, -0.3442383, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.9022217, 0.324, 0.1578369, 0.324, -0.2069092, 0.324, -0.3439331, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.9022827, 0.3375, 0.157959, 0.3375, -0.2067261, 0.3375, -0.343811, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.9024048, 0.351, 0.1581421, 0.351, -0.2064819, 0.351, -0.3435669, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.9024658, 0.3645, 0.1581421, 0.3645, -0.2062988, 0.3645, -0.3434448, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.9025879, 0.378, 0.1582642, 0.378, -0.2060547, 0.378, -0.3433228, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.9025879, 0.3915, 0.1583252, 0.3915, -0.2059937, 0.3915, -0.3432617, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.9026489, 0.405, 0.1585083, 0.405, -0.2058716, 0.405, -0.3431396, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.90271, 0.4185, 0.1585083, 0.4185, -0.2058105, 0.4185, -0.3429565, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.902832, 0.432, 0.1584473, 0.432, -0.2055664, 0.432, -0.3427734, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.902832, 0.4455, 0.1584473, 0.4455, -0.2054443, 0.4455, -0.3428345, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.9029541, 0.459, 0.1583862, 0.459, -0.2052612, 0.459, -0.3427734, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.9030151, 0.4725, 0.1583862, 0.4725, -0.2051392, 0.4725, -0.3426514, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.9030762, 0.486, 0.1583862, 0.486, -0.2049561, 0.486, -0.3425293, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.9031982, 0.4995, 0.1585083, 0.4995, -0.2047119, 0.4995, -0.3423462, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.9031982, 0.513, 0.1585693, 0.513, -0.2047119, 0.513, -0.3422241, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.9032593, 0.5265, 0.1588135, 0.5265, -0.2045898, 0.5265, -0.342041, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.9033203, 0.54, 0.1589355, 0.54, -0.2045898, 0.54, -0.3418579, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.9034424, 0.5535, 0.1593018, 0.5535, -0.2044067, 0.5535, -0.3414917, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.9035645, 0.567, 0.1594238, 0.567, -0.2042847, 0.567, -0.3411865, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.9036865, 0.5805, 0.15979, 0.5805, -0.2040405, 0.5805, -0.3408813, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.9037476, 0.594, 0.1599731, 0.594, -0.2038574, 0.594, -0.3406982, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.9038696, 0.6075, 0.1603394, 0.6075, -0.2036133, 0.6075, -0.3403931, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.9039307, 0.621, 0.1604614, 0.621, -0.2035522, 0.621, -0.34021, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.9039307, 0.6345, 0.1605835, 0.6345, -0.2034302, 0.6345, -0.3401489, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.9039307, 0.648, 0.1607056, 0.648, -0.2033691, 0.648, -0.3401489, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.9039307, 0.6615, 0.1608276, 0.6615, -0.2033081, 0.6615, -0.3401489, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.9038696, 0.675, 0.1608276, 0.675, -0.2032471, 0.675, -0.340332, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.9038696, 0.6885, 0.1608276, 0.6885, -0.203125, 0.6885, -0.3405151, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.9037476, 0.702, 0.1608276, 0.702, -0.203064, 0.702, -0.3408203, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.9037476, 0.7155, 0.1608276, 0.7155, -0.2029419, 0.7155, -0.3408813, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.9036865, 0.729, 0.1608276, 0.729, -0.2028809, 0.729, -0.3410034, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.9036865, 0.7425, 0.1608276, 0.7425, -0.2028198, 0.7425, -0.3411255, , , , , , , , , , , , , , , , , , , , , , 
