Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 14:41:35
Collection Length (seconds):, 62.37
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9041748, 0, 0.1890259, 0, -0.1040649, 0, -0.3685913, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9044189, 0.0135, 0.1879272, 0.0135, -0.1055908, 0.0135, -0.3681641, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.904541, 0.027, 0.1873779, 0.027, -0.1063232, 0.027, -0.3679199, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9047852, 0.0405, 0.1863403, 0.0405, -0.1078491, 0.0405, -0.3674316, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9049683, 0.054, 0.1858521, 0.054, -0.1085205, 0.054, -0.3670654, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9052124, 0.0675, 0.1849365, 0.0675, -0.1099243, 0.0675, -0.3665161, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9052734, 0.081, 0.1845703, 0.081, -0.1105957, 0.081, -0.366272, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9054565, 0.0945, 0.1837769, 0.0945, -0.1120605, 0.0945, -0.3657837, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9056396, 0.108, 0.1834106, 0.108, -0.1126709, 0.108, -0.3654175, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9060059, 0.1215, 0.1824951, 0.1215, -0.1138916, 0.1215, -0.364563, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.906311, 0.135, 0.1815796, 0.135, -0.1151123, 0.135, -0.3638916, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9064331, 0.1485, 0.1811523, 0.1485, -0.1156006, 0.1485, -0.3635254, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9066162, 0.162, 0.1802368, 0.162, -0.1167603, 0.162, -0.3632202, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9066772, 0.1755, 0.1798096, 0.1755, -0.1173706, 0.1755, -0.3630981, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9067383, 0.189, 0.1790161, 0.189, -0.1185913, 0.189, -0.362915, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9067383, 0.2025, 0.1786499, 0.2025, -0.1191406, 0.2025, -0.362854, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9068604, 0.216, 0.1778564, 0.216, -0.1201782, 0.216, -0.3626709, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9069214, 0.2295, 0.1774902, 0.2295, -0.1207275, 0.2295, -0.3625488, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.9070435, 0.243, 0.1768799, 0.243, -0.121582, 0.243, -0.3621826, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.9071655, 0.2565, 0.1766357, 0.2565, -0.1219482, 0.2565, -0.3619385, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.9072876, 0.27, 0.1760864, 0.27, -0.1226807, 0.27, -0.3615723, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.9074097, 0.2835, 0.1757812, 0.2835, -0.1230469, 0.2835, -0.3613892, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.9075317, 0.297, 0.1752319, 0.297, -0.1236572, 0.297, -0.361084, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.9075928, 0.3105, 0.1749878, 0.3105, -0.1239624, 0.3105, -0.3609619, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.9077759, 0.324, 0.1744385, 0.324, -0.1243896, 0.324, -0.3605957, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.907959, 0.3375, 0.1739502, 0.3375, -0.1248779, 0.3375, -0.3602295, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.90802, 0.351, 0.1737061, 0.351, -0.125061, 0.351, -0.3600464, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.9082031, 0.3645, 0.1732788, 0.3645, -0.1254272, 0.3645, -0.3597412, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.9083252, 0.378, 0.1730347, 0.378, -0.1256104, 0.378, -0.359436, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.9085083, 0.3915, 0.1727295, 0.3915, -0.1257935, 0.3915, -0.3590698, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.9086304, 0.405, 0.1726074, 0.405, -0.1258545, 0.405, -0.3588867, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.9088135, 0.4185, 0.1723022, 0.4185, -0.1261597, 0.4185, -0.3584595, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.9088745, 0.432, 0.1721802, 0.432, -0.1262817, 0.432, -0.3582764, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.9090576, 0.4455, 0.171875, 0.4455, -0.1264648, 0.4455, -0.3579102, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.9091797, 0.459, 0.1716919, 0.459, -0.1264648, 0.459, -0.357666, , , , , , , , , , , , , , , , , , , , , , 
