Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 14:43:54
Collection Length (seconds):, 34.9785
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.8845825, 0, 0.1608276, 0, -0.2084351, 0, -0.3849487, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.8846436, 0.0135, 0.1608887, 0.0135, -0.2084351, 0.0135, -0.3847656, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.8848267, 0.027, 0.1608887, 0.027, -0.2084351, 0.027, -0.3844604, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.8848267, 0.0405, 0.1609497, 0.0405, -0.2084961, 0.0405, -0.3842773, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.8850098, 0.054, 0.1608887, 0.054, -0.2084351, 0.054, -0.3839722, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.8850708, 0.0675, 0.1610107, 0.0675, -0.2084351, 0.0675, -0.383728, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.8850708, 0.081, 0.1610718, 0.081, -0.208313, 0.081, -0.3837891, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.8850708, 0.0945, 0.1611328, 0.0945, -0.208313, 0.0945, -0.383728, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.8851929, 0.108, 0.1612549, 0.108, -0.208252, 0.108, -0.3834839, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.8852539, 0.1215, 0.1613159, 0.1215, -0.2081909, 0.1215, -0.3833008, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.885437, 0.135, 0.161438, 0.135, -0.2081299, 0.135, -0.3829346, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.885498, 0.1485, 0.161499, 0.1485, -0.2081909, 0.1485, -0.3827515, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.885437, 0.162, 0.161499, 0.162, -0.208252, 0.162, -0.3828125, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.885437, 0.1755, 0.1615601, 0.1755, -0.208252, 0.1755, -0.3827515, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.885498, 0.189, 0.161499, 0.189, -0.2081909, 0.189, -0.3826294, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.8855591, 0.2025, 0.1615601, 0.2025, -0.2081299, 0.2025, -0.3825684, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.8856201, 0.216, 0.1616821, 0.216, -0.2080078, 0.216, -0.3823853, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.8857422, 0.2295, 0.1617432, 0.2295, -0.2078857, 0.2295, -0.3821411, , , , , , , , , , , , , , , , , , , , , , 
