Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:57:18
Collection Length (seconds):, 41.8635
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.7526855, 0, 0.2686768, 0, 0.2490234, 0, 0.5470581, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.7525635, 0.0135, 0.2687988, 0.0135, 0.2490845, 0.0135, 0.5471191, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.7525024, 0.027, 0.2688599, 0.027, 0.2491455, 0.027, 0.5471191, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.7524414, 0.0405, 0.2688599, 0.0405, 0.2492676, 0.0405, 0.5471802, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.7523804, 0.054, 0.2688599, 0.054, 0.2493896, 0.054, 0.5471802, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.7524414, 0.0675, 0.2689819, 0.0675, 0.2493896, 0.0675, 0.5471191, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.7523804, 0.081, 0.2689819, 0.081, 0.2493286, 0.081, 0.5471191, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.7523804, 0.0945, 0.2689209, 0.0945, 0.2493896, 0.0945, 0.5471802, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.7523193, 0.108, 0.2689209, 0.108, 0.2493896, 0.108, 0.5472412, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.7523193, 0.1215, 0.2688599, 0.1215, 0.2493896, 0.1215, 0.5473022, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.7522583, 0.135, 0.2688599, 0.135, 0.2494507, 0.135, 0.5473633, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.7521973, 0.1485, 0.2688599, 0.1485, 0.2494507, 0.1485, 0.5474243, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.7520752, 0.162, 0.2687988, 0.162, 0.2495728, 0.162, 0.5476074, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.7519531, 0.1755, 0.2687378, 0.1755, 0.2497559, 0.1755, 0.5477295, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.75177, 0.189, 0.2685547, 0.189, 0.25, 0.189, 0.5478516, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.75177, 0.2025, 0.2685547, 0.2025, 0.250061, 0.2025, 0.5478516, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.7518311, 0.216, 0.2686157, 0.216, 0.249939, 0.216, 0.5478516, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.75177, 0.2295, 0.2686157, 0.2295, 0.25, 0.2295, 0.5478516, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.751709, 0.243, 0.2686157, 0.243, 0.250061, 0.243, 0.5479126, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.7516479, 0.2565, 0.2686157, 0.2565, 0.2501221, 0.2565, 0.5479736, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.7516479, 0.27, 0.2685547, 0.27, 0.2501831, 0.27, 0.5480347, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.7515869, 0.2835, 0.2684937, 0.2835, 0.2502441, 0.2835, 0.5480957, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.7516479, 0.297, 0.2683105, 0.297, 0.2503662, 0.297, 0.5480347, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.7516479, 0.3105, 0.2682495, 0.3105, 0.2503662, 0.3105, 0.5480957, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.7515259, 0.324, 0.2681885, 0.324, 0.2504272, 0.324, 0.5482178, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.7514648, 0.3375, 0.2681274, 0.3375, 0.2504272, 0.3375, 0.5483398, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.7513428, 0.351, 0.2681274, 0.351, 0.2504883, 0.351, 0.5484619, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.7512207, 0.3645, 0.2681274, 0.3645, 0.2504883, 0.3645, 0.548645, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.7512207, 0.378, 0.2681274, 0.378, 0.2504883, 0.378, 0.5487061, , , , , , , , , , , , , , , , , , , , , , 
