Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:54:54
Collection Length (seconds):, 41.742
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.7313232, 0, 0.2645874, 0, 0.2740479, 0, 0.5657349, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.7313232, 0.0135, 0.2647095, 0.0135, 0.2740479, 0.0135, 0.5656738, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.7313843, 0.027, 0.2647705, 0.027, 0.2739868, 0.027, 0.5656128, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.7314453, 0.0405, 0.2648315, 0.0405, 0.2739258, 0.0405, 0.5654907, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.7315063, 0.054, 0.2648926, 0.054, 0.2739258, 0.054, 0.5654297, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.7315674, 0.0675, 0.2650757, 0.0675, 0.2738647, 0.0675, 0.5652466, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.7316895, 0.081, 0.2651978, 0.081, 0.2738647, 0.081, 0.5650635, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.7317505, 0.0945, 0.2653809, 0.0945, 0.2737427, 0.0945, 0.5649414, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.7318115, 0.108, 0.265564, 0.108, 0.2737427, 0.108, 0.5648193, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.7318726, 0.1215, 0.265686, 0.1215, 0.2736816, 0.1215, 0.5646973, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.7319336, 0.135, 0.2659302, 0.135, 0.2735596, 0.135, 0.5645142, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.7319946, 0.1485, 0.2659912, 0.1485, 0.2734985, 0.1485, 0.5644531, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.7320557, 0.162, 0.2660522, 0.162, 0.2734375, 0.162, 0.5643311, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.7321167, 0.1755, 0.2661133, 0.1755, 0.2733765, 0.1755, 0.5643311, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.7322388, 0.189, 0.2663574, 0.189, 0.2733154, 0.189, 0.5640869, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.7322998, 0.2025, 0.2664795, 0.2025, 0.2732544, 0.2025, 0.5639648, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.7322388, 0.216, 0.2666016, 0.216, 0.2732544, 0.216, 0.5639648, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.7322998, 0.2295, 0.2666016, 0.2295, 0.2732544, 0.2295, 0.5639038, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.7323608, 0.243, 0.2667847, 0.243, 0.2732544, 0.243, 0.5637817, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.7324829, 0.2565, 0.2669067, 0.2565, 0.2731323, 0.2565, 0.5635986, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.7324829, 0.27, 0.2670288, 0.27, 0.2730713, 0.27, 0.5635986, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.7323608, 0.2835, 0.2670898, 0.2835, 0.2730713, 0.2835, 0.5636597, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.7322388, 0.297, 0.2672119, 0.297, 0.2733154, 0.297, 0.5636597, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.7322388, 0.3105, 0.2671509, 0.3105, 0.2734985, 0.3105, 0.5636597, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.7322388, 0.324, 0.2672729, 0.324, 0.2734375, 0.324, 0.5635986, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.7324829, 0.3375, 0.2674561, 0.3375, 0.2731934, 0.3375, 0.5632935, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.7324829, 0.351, 0.2675171, 0.351, 0.2731934, 0.351, 0.5632935, , , , , , , , , , , , , , , , , , , , , , 
