Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:53:55
Collection Length (seconds):, 41.04
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.7427368, 0, 0.2686157, 0, 0.2670288, 0, 0.5521851, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.7427368, 0.0135, 0.2684326, 0.0135, 0.2671509, 0.0135, 0.5521851, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.7427368, 0.027, 0.2684326, 0.027, 0.2672119, 0.027, 0.552124, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.7426758, 0.0405, 0.2683716, 0.0405, 0.2671509, 0.0405, 0.5522461, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.7426758, 0.054, 0.2683716, 0.054, 0.2671509, 0.054, 0.5523071, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.7426147, 0.0675, 0.2683105, 0.0675, 0.2671509, 0.0675, 0.5523682, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.7424927, 0.081, 0.2683105, 0.081, 0.2672119, 0.081, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.7423706, 0.0945, 0.2683105, 0.0945, 0.2672729, 0.0945, 0.5526733, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.7421875, 0.108, 0.2682495, 0.108, 0.267395, 0.108, 0.5528564, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.7421875, 0.1215, 0.2682495, 0.1215, 0.267395, 0.1215, 0.5529175, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.7421875, 0.135, 0.2682495, 0.135, 0.2674561, 0.135, 0.5529175, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.7421265, 0.1485, 0.2681274, 0.1485, 0.2675171, 0.1485, 0.5529785, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.7421265, 0.162, 0.2680664, 0.162, 0.2676392, 0.162, 0.5529785, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.7421265, 0.1755, 0.2680664, 0.1755, 0.2677612, 0.1755, 0.5529785, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.7420654, 0.189, 0.2680054, 0.189, 0.2678833, 0.189, 0.5529175, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.7420654, 0.2025, 0.2679443, 0.2025, 0.2679443, 0.2025, 0.5529785, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.7420654, 0.216, 0.2678223, 0.216, 0.2681274, 0.216, 0.5529175, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.7420654, 0.2295, 0.2677612, 0.2295, 0.2681274, 0.2295, 0.5529175, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.7421875, 0.243, 0.2677612, 0.243, 0.2681274, 0.243, 0.5527344, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.7422485, 0.2565, 0.2678223, 0.2565, 0.2680664, 0.2565, 0.5526733, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.7423706, 0.27, 0.2678223, 0.27, 0.2681274, 0.27, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.7424316, 0.2835, 0.2678223, 0.2835, 0.2681274, 0.2835, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.7424316, 0.297, 0.2677612, 0.297, 0.2681885, 0.297, 0.5524292, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.7423706, 0.3105, 0.2677612, 0.3105, 0.2682495, 0.3105, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.7423706, 0.324, 0.2677612, 0.324, 0.2683105, 0.324, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.7423096, 0.3375, 0.2677002, 0.3375, 0.2683716, 0.3375, 0.5525513, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.7423096, 0.351, 0.2677002, 0.351, 0.2683716, 0.351, 0.5525513, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.7422485, 0.3645, 0.2677002, 0.3645, 0.2683105, 0.3645, 0.5526123, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.7423096, 0.378, 0.2677002, 0.378, 0.2684326, 0.378, 0.5525513, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.7421875, 0.3915, 0.2675781, 0.3915, 0.2686157, 0.3915, 0.5526123, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.7421265, 0.405, 0.2675781, 0.405, 0.2686157, 0.405, 0.5526733, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.7421875, 0.4185, 0.2675781, 0.4185, 0.2685547, 0.4185, 0.5526123, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.7422485, 0.432, 0.2676392, 0.432, 0.2684937, 0.432, 0.5526123, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.7422485, 0.4455, 0.2676392, 0.4455, 0.2684326, 0.4455, 0.5526123, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.7421875, 0.459, 0.2676392, 0.459, 0.2684937, 0.459, 0.5527344, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.7420654, 0.4725, 0.2675171, 0.4725, 0.2686157, 0.4725, 0.5527954, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.7420654, 0.486, 0.2674561, 0.486, 0.2687378, 0.486, 0.5528564, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.7420044, 0.4995, 0.2672729, 0.4995, 0.2688599, 0.4995, 0.5529175, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.7419434, 0.513, 0.2670288, 0.513, 0.2689819, 0.513, 0.5530396, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.7419434, 0.5265, 0.2669678, 0.5265, 0.2689819, 0.5265, 0.5531006, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.7418213, 0.54, 0.2669067, 0.54, 0.269043, 0.54, 0.5532227, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.7418213, 0.5535, 0.2669678, 0.5535, 0.269043, 0.5535, 0.5532227, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.7418213, 0.567, 0.2669678, 0.567, 0.269043, 0.567, 0.5532227, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.7416992, 0.5805, 0.2669678, 0.5805, 0.269043, 0.5805, 0.5533447, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.7416992, 0.594, 0.2668457, 0.594, 0.269165, 0.594, 0.5534058, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.7416992, 0.6075, 0.2667236, 0.6075, 0.269165, 0.6075, 0.5534058, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.7418213, 0.621, 0.2667847, 0.621, 0.269104, 0.621, 0.5532837, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.7418213, 0.6345, 0.2667847, 0.6345, 0.269104, 0.6345, 0.5532227, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.7418213, 0.648, 0.2667236, 0.648, 0.269165, 0.648, 0.5532837, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.7418213, 0.6615, 0.2666626, 0.6615, 0.269165, 0.6615, 0.5532837, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.7418823, 0.675, 0.2666016, 0.675, 0.269165, 0.675, 0.5532227, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.7418823, 0.6885, 0.2666626, 0.6885, 0.269165, 0.6885, 0.5532227, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.7420044, 0.702, 0.2666626, 0.702, 0.269104, 0.702, 0.5531006, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.7420044, 0.7155, 0.2666626, 0.7155, 0.269104, 0.7155, 0.5531006, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.7420044, 0.729, 0.2666626, 0.729, 0.269104, 0.729, 0.5531006, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.7420654, 0.7425, 0.2667236, 0.7425, 0.269043, 0.7425, 0.5529785, , , , , , , , , , , , , , , , , , , , , , 
0.756, 0.7421265, 0.756, 0.2667236, 0.756, 0.269104, 0.756, 0.5529175, , , , , , , , , , , , , , , , , , , , , , 
0.7695, 0.7421875, 0.7695, 0.2666626, 0.7695, 0.269043, 0.7695, 0.5528564, , , , , , , , , , , , , , , , , , , , , , 
0.783, 0.7421875, 0.783, 0.2666626, 0.783, 0.2689819, 0.783, 0.5528564, , , , , , , , , , , , , , , , , , , , , , 
0.7965, 0.7422485, 0.7965, 0.2666626, 0.7965, 0.2689819, 0.7965, 0.5528564, , , , , , , , , , , , , , , , , , , , , , 
0.81, 0.7422485, 0.81, 0.2666626, 0.81, 0.2689819, 0.81, 0.5528564, , , , , , , , , , , , , , , , , , , , , , 
0.8235, 0.7423096, 0.8235, 0.2666016, 0.8235, 0.2689819, 0.8235, 0.5527954, , , , , , , , , , , , , , , , , , , , , , 
0.837, 0.7423096, 0.837, 0.2666016, 0.837, 0.2689819, 0.837, 0.5527954, , , , , , , , , , , , , , , , , , , , , , 
0.8505, 0.7423706, 0.8505, 0.2666016, 0.8505, 0.2687378, 0.8505, 0.5527954, , , , , , , , , , , , , , , , , , , , , , 
0.864, 0.7423706, 0.864, 0.2665405, 0.864, 0.2686157, 0.864, 0.5528564, , , , , , , , , , , , , , , , , , , , , , 
0.8775, 0.7423706, 0.8775, 0.2664795, 0.8775, 0.2686768, 0.8775, 0.5528564, , , , , , , , , , , , , , , , , , , , , , 
0.891, 0.7424316, 0.891, 0.2664795, 0.891, 0.2686768, 0.891, 0.5527954, , , , , , , , , , , , , , , , , , , , , , 
0.9045, 0.7425537, 0.9045, 0.2665405, 0.9045, 0.2686157, 0.9045, 0.5526733, , , , , , , , , , , , , , , , , , , , , , 
0.918, 0.7426147, 0.918, 0.2665405, 0.918, 0.2683716, 0.918, 0.5526123, , , , , , , , , , , , , , , , , , , , , , 
0.9315, 0.7426147, 0.9315, 0.2666016, 0.9315, 0.2682495, 0.9315, 0.5526733, , , , , , , , , , , , , , , , , , , , , , 
0.945, 0.7426758, 0.945, 0.2667236, 0.945, 0.2680664, 0.945, 0.5526123, , , , , , , , , , , , , , , , , , , , , , 
0.9585, 0.7426758, 0.9585, 0.2667847, 0.9585, 0.2679443, 0.9585, 0.5526733, , , , , , , , , , , , , , , , , , , , , , 
0.972, 0.7429199, 0.972, 0.2667847, 0.972, 0.2677612, 0.972, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
0.9855, 0.742981, 0.9855, 0.2667236, 0.9855, 0.2677002, 0.9855, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
0.999, 0.743042, 0.999, 0.2665405, 0.999, 0.2675781, 0.999, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
1.0125, 0.743103, 1.0125, 0.2664185, 1.0125, 0.2675171, 1.0125, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
1.026, 0.7431641, 1.026, 0.2662964, 1.026, 0.267395, 1.026, 0.5525513, , , , , , , , , , , , , , , , , , , , , , 
1.0395, 0.7432251, 1.0395, 0.2662964, 1.0395, 0.2672729, 1.0395, 0.5524902, , , , , , , , , , , , , , , , , , , , , , 
1.053, 0.7433472, 1.053, 0.2662354, 1.053, 0.2670898, 1.053, 0.5524292, , , , , , , , , , , , , , , , , , , , , , 
1.0665, 0.7434082, 1.0665, 0.2662964, 1.0665, 0.2669678, 1.0665, 0.5524292, , , , , , , , , , , , , , , , , , , , , , 
1.08, 0.7434692, 1.08, 0.2662964, 1.08, 0.2669067, 1.08, 0.5523682, , , , , , , , , , , , , , , , , , , , , , 
1.0935, 0.7434692, 1.0935, 0.2662354, 1.0935, 0.2669678, 1.0935, 0.5523682, , , , , , , , , , , , , , , , , , , , , , 
1.107, 0.7435303, 1.107, 0.2662964, 1.107, 0.2669067, 1.107, 0.5523071, , , , , , , , , , , , , , , , , , , , , , 
1.1205, 0.7435303, 1.1205, 0.2662354, 1.1205, 0.2668457, 1.1205, 0.5523682, , , , , , , , , , , , , , , , , , , , , , 
1.134, 0.7435303, 1.134, 0.2661133, 1.134, 0.2668457, 1.134, 0.5523682, , , , , , , , , , , , , , , , , , , , , , 
1.1475, 0.7435913, 1.1475, 0.2660522, 1.1475, 0.2668457, 1.1475, 0.5523682, , , , , , , , , , , , , , , , , , , , , , 
1.161, 0.7435913, 1.161, 0.2659912, 1.161, 0.2667847, 1.161, 0.5523682, , , , , , , , , , , , , , , , , , , , , , 
1.1745, 0.7437134, 1.1745, 0.2659302, 1.1745, 0.2667236, 1.1745, 0.5523071, , , , , , , , , , , , , , , , , , , , , , 
1.188, 0.7437744, 1.188, 0.2659302, 1.188, 0.2666016, 1.188, 0.5522461, , , , , , , , , , , , , , , , , , , , , , 
1.2015, 0.7438354, 1.2015, 0.2659302, 1.2015, 0.2665405, 1.2015, 0.5521851, , , , , , , , , , , , , , , , , , , , , , 
1.215, 0.7438965, 1.215, 0.2659912, 1.215, 0.2664795, 1.215, 0.552124, , , , , , , , , , , , , , , , , , , , , , 
1.2285, 0.7440186, 1.2285, 0.2661133, 1.2285, 0.2662964, 1.2285, 0.552002, , , , , , , , , , , , , , , , , , , , , , 
1.242, 0.7440186, 1.242, 0.2661133, 1.242, 0.2662354, 1.242, 0.552002, , , , , , , , , , , , , , , , , , , , , , 
