Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:14:46
Collection Length (seconds):, 54.6885
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.7747192, 0, 0.1999512, 0, 0.0681763, 0, 0.5959473, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.7748413, 0.0135, 0.2000732, 0.0135, 0.0680542, 0.0135, 0.5958252, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.7749634, 0.027, 0.2002563, 0.027, 0.0678711, 0.027, 0.5955811, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.7750244, 0.0405, 0.2003174, 0.0405, 0.0678711, 0.0405, 0.59552, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.7751465, 0.054, 0.2005005, 0.054, 0.0678101, 0.054, 0.5952759, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.7751465, 0.0675, 0.2005615, 0.0675, 0.067749, 0.0675, 0.5952148, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.7751465, 0.081, 0.2006836, 0.081, 0.067688, 0.081, 0.5952148, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.7751465, 0.0945, 0.2007446, 0.0945, 0.067627, 0.0945, 0.5951538, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.7752686, 0.108, 0.2009277, 0.108, 0.0675049, 0.108, 0.5949707, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.7753906, 0.1215, 0.2010498, 0.1215, 0.0674438, 0.1215, 0.5948486, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.7754517, 0.135, 0.2012329, 0.135, 0.0671997, 0.135, 0.5946655, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.7755737, 0.1485, 0.201416, 0.1485, 0.0670166, 0.1485, 0.5944824, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.7756958, 0.162, 0.2015991, 0.162, 0.0668945, 0.162, 0.5942993, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.7757568, 0.1755, 0.2017212, 0.1755, 0.0667114, 0.1755, 0.5941772, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.7757568, 0.189, 0.2017822, 0.189, 0.0666504, 0.189, 0.5941772, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.7758179, 0.2025, 0.2019043, 0.2025, 0.0665894, 0.2025, 0.5941162, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.7757568, 0.216, 0.2019653, 0.216, 0.0665894, 0.216, 0.5941162, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.7757568, 0.2295, 0.2022095, 0.2295, 0.0664673, 0.2295, 0.5939941, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.7758179, 0.243, 0.2022705, 0.243, 0.0664062, 0.243, 0.5939941, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.7759399, 0.2565, 0.2023926, 0.2565, 0.0662842, 0.2565, 0.59375, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.776001, 0.27, 0.2025146, 0.27, 0.0661621, 0.27, 0.5936279, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.776123, 0.2835, 0.2026367, 0.2835, 0.06604, 0.2835, 0.5935059, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.776062, 0.297, 0.2027588, 0.297, 0.065979, 0.297, 0.5935059, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.7761841, 0.3105, 0.2028809, 0.3105, 0.0658569, 0.3105, 0.5933838, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.7761841, 0.324, 0.2028809, 0.324, 0.0657959, 0.324, 0.5933228, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.7762451, 0.3375, 0.203064, 0.3375, 0.0656738, 0.3375, 0.5932617, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.7763062, 0.351, 0.203186, 0.351, 0.0655518, 0.351, 0.5930786, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.7763672, 0.3645, 0.2032471, 0.3645, 0.0654907, 0.3645, 0.5930176, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.7764893, 0.378, 0.2034302, 0.378, 0.0653687, 0.378, 0.5927734, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.7765503, 0.3915, 0.2034912, 0.3915, 0.0653076, 0.3915, 0.5927124, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.7766113, 0.405, 0.2036133, 0.405, 0.0651245, 0.405, 0.5925903, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.7766113, 0.4185, 0.2036743, 0.4185, 0.0651245, 0.4185, 0.5925293, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.7767944, 0.432, 0.2037964, 0.432, 0.0650024, 0.432, 0.5923462, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.7768555, 0.4455, 0.2038574, 0.4455, 0.0649414, 0.4455, 0.5922241, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.7769165, 0.459, 0.2039185, 0.459, 0.0650024, 0.459, 0.5921021, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.7770386, 0.4725, 0.2039185, 0.4725, 0.0650024, 0.4725, 0.5919189, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.7772217, 0.486, 0.2039795, 0.486, 0.0650024, 0.486, 0.5916748, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.7773438, 0.4995, 0.2040405, 0.4995, 0.0650024, 0.4995, 0.5915527, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.7774658, 0.513, 0.2040405, 0.513, 0.0649414, 0.513, 0.5913696, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.7774658, 0.5265, 0.2041016, 0.5265, 0.0649414, 0.5265, 0.5913086, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.7775879, 0.54, 0.2041626, 0.54, 0.0648193, 0.54, 0.5911255, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.7776489, 0.5535, 0.2042236, 0.5535, 0.0648804, 0.5535, 0.5910034, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.77771, 0.567, 0.2042847, 0.567, 0.0648804, 0.567, 0.5909424, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.777832, 0.5805, 0.2043457, 0.5805, 0.0647583, 0.5805, 0.5908203, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.7778931, 0.594, 0.2042847, 0.594, 0.0646973, 0.594, 0.5906982, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.7780151, 0.6075, 0.2042847, 0.6075, 0.0646362, 0.6075, 0.5905762, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.7780762, 0.621, 0.2043457, 0.621, 0.0645752, 0.621, 0.5905151, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.7781982, 0.6345, 0.2044678, 0.6345, 0.0645752, 0.6345, 0.590332, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.7782593, 0.648, 0.2044678, 0.648, 0.0645142, 0.648, 0.59021, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.7785034, 0.6615, 0.2045898, 0.6615, 0.0643921, 0.6615, 0.5898438, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.7786255, 0.675, 0.2046509, 0.675, 0.0643311, 0.675, 0.5897217, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.7787476, 0.6885, 0.2047729, 0.6885, 0.06427, 0.6885, 0.5895386, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.7788086, 0.702, 0.2047729, 0.702, 0.06427, 0.702, 0.5894165, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.7789307, 0.7155, 0.2046509, 0.7155, 0.0641479, 0.7155, 0.5892944, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.7789307, 0.729, 0.2046509, 0.729, 0.0641479, 0.729, 0.5892944, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.7789307, 0.7425, 0.2045898, 0.7425, 0.0640869, 0.7425, 0.5893555, , , , , , , , , , , , , , , , , , , , , , 
0.756, 0.7789917, 0.756, 0.2045288, 0.756, 0.0640869, 0.756, 0.5892944, , , , , , , , , , , , , , , , , , , , , , 
0.7695, 0.7789917, 0.7695, 0.2045288, 0.7695, 0.0640869, 0.7695, 0.5892944, , , , , , , , , , , , , , , , , , , , , , 
0.783, 0.7790527, 0.783, 0.2044678, 0.783, 0.0640259, 0.783, 0.5892334, , , , , , , , , , , , , , , , , , , , , , 
0.7965, 0.7789917, 0.7965, 0.2044678, 0.7965, 0.0639648, 0.7965, 0.5892944, , , , , , , , , , , , , , , , , , , , , , 
0.81, 0.7789917, 0.81, 0.2044678, 0.81, 0.0638428, 0.81, 0.5893555, , , , , , , , , , , , , , , , , , , , , , 
0.8235, 0.7790527, 0.8235, 0.2045288, 0.8235, 0.0638428, 0.8235, 0.5892334, , , , , , , , , , , , , , , , , , , , , , 
0.837, 0.7791138, 0.837, 0.2044678, 0.837, 0.0635986, 0.837, 0.5891724, , , , , , , , , , , , , , , , , , , , , , 
0.8505, 0.7791748, 0.8505, 0.2044067, 0.8505, 0.0634766, 0.8505, 0.5891724, , , , , , , , , , , , , , , , , , , , , , 
0.864, 0.7791138, 0.864, 0.2041626, 0.864, 0.0630493, 0.864, 0.5892944, , , , , , , , , , , , , , , , , , , , , , 
0.8775, 0.7791138, 0.8775, 0.2039795, 0.8775, 0.0629272, 0.8775, 0.5894775, , , , , , , , , , , , , , , , , , , , , , 
0.891, 0.7788696, 0.891, 0.2034302, 0.891, 0.0626831, 0.891, 0.5899658, , , , , , , , , , , , , , , , , , , , , , 
0.9045, 0.7786865, 0.9045, 0.203186, 0.9045, 0.0625, 0.9045, 0.590332, , , , , , , , , , , , , , , , , , , , , , 
0.918, 0.7785034, 0.918, 0.2025757, 0.918, 0.0621338, 0.918, 0.5907593, , , , , , , , , , , , , , , , , , , , , , 
0.9315, 0.7783813, 0.9315, 0.2023315, 0.9315, 0.0618896, 0.9315, 0.5910645, , , , , , , , , , , , , , , , , , , , , , 
0.945, 0.7782593, 0.945, 0.2018433, 0.945, 0.0614014, 0.945, 0.5914307, , , , , , , , , , , , , , , , , , , , , , 
0.9585, 0.7781982, 0.9585, 0.2014771, 0.9585, 0.0610962, 0.9585, 0.5916748, , , , , , , , , , , , , , , , , , , , , , 
0.972, 0.7781982, 0.972, 0.2012939, 0.972, 0.0610352, 0.972, 0.5917969, , , , , , , , , , , , , , , , , , , , , , 
0.9855, 0.7781372, 0.9855, 0.2009277, 0.9855, 0.060791, 0.9855, 0.59198, , , , , , , , , , , , , , , , , , , , , , 
0.999, 0.7780762, 0.999, 0.2006226, 0.999, 0.0606079, 0.999, 0.5921631, , , , , , , , , , , , , , , , , , , , , , 
1.0125, 0.7780151, 1.0125, 0.1999512, 1.0125, 0.0601196, 1.0125, 0.5925293, , , , , , , , , , , , , , , , , , , , , , 
1.026, 0.7779541, 1.026, 0.199646, 1.026, 0.0598755, 1.026, 0.5927124, , , , , , , , , , , , , , , , , , , , , , 
1.0395, 0.7779541, 1.0395, 0.1989136, 1.0395, 0.05896, 1.0395, 0.5930786, , , , , , , , , , , , , , , , , , , , , , 
1.053, 0.7778931, 1.053, 0.1985474, 1.053, 0.0584717, 1.053, 0.5933228, , , , , , , , , , , , , , , , , , , , , , 
1.0665, 0.77771, 1.0665, 0.1976929, 1.0665, 0.057373, 1.0665, 0.5939941, , , , , , , , , , , , , , , , , , , , , , 
1.08, 0.7775269, 1.08, 0.1973267, 1.08, 0.0565796, 1.08, 0.5944214, , , , , , , , , , , , , , , , , , , , , , 
1.0935, 0.7770996, 1.0935, 0.196228, 1.0935, 0.0546875, 1.0935, 0.59552, , , , , , , , , , , , , , , , , , , , , , 
1.107, 0.7767944, 1.107, 0.1956177, 1.107, 0.0537109, 1.107, 0.5961914, , , , , , , , , , , , , , , , , , , , , , 
1.1205, 0.7763062, 1.1205, 0.1942749, 1.1205, 0.0516968, 1.1205, 0.5974731, , , , , , , , , , , , , , , , , , , , , , 
1.134, 0.776062, 1.134, 0.1934814, 1.134, 0.0505981, 1.134, 0.5980835, , , , , , , , , , , , , , , , , , , , , , 
1.1475, 0.7758179, 1.1475, 0.1919556, 1.1475, 0.0483398, 1.1475, 0.5991211, , , , , , , , , , , , , , , , , , , , , , 
1.161, 0.7756958, 1.161, 0.1902466, 1.161, 0.0460815, 1.161, 0.6000366, , , , , , , , , , , , , , , , , , , , , , 
1.1745, 0.7755737, 1.1745, 0.1893921, 1.1745, 0.0446777, 1.1745, 0.6004639, , , , , , , , , , , , , , , , , , , , , , 
1.188, 0.7754517, 1.188, 0.1885986, 1.188, 0.0432129, 1.188, 0.6010132, , , , , , , , , , , , , , , , , , , , , , 
1.2015, 0.7752686, 1.2015, 0.1870117, 1.2015, 0.0401001, 1.2015, 0.6019287, , , , , , , , , , , , , , , , , , , , , , 
1.215, 0.7749023, 1.215, 0.1852417, 1.215, 0.0372925, 1.215, 0.6031494, , , , , , , , , , , , , , , , , , , , , , 
1.2285, 0.7746582, 1.2285, 0.1843262, 1.2285, 0.0358887, 1.2285, 0.6038208, , , , , , , , , , , , , , , , , , , , , , 
1.242, 0.7741089, 1.242, 0.1824951, 1.242, 0.0328369, 1.242, 0.6052856, , , , , , , , , , , , , , , , , , , , , , 
1.2555, 0.7739258, 1.2555, 0.1813354, 1.2555, 0.0313721, 1.2555, 0.605957, , , , , , , , , , , , , , , , , , , , , , 
1.269, 0.7734375, 1.269, 0.1790771, 1.269, 0.0281372, 1.269, 0.6074219, , , , , , , , , , , , , , , , , , , , , , 
1.2825, 0.7731323, 1.2825, 0.1780396, 1.2825, 0.0264282, 1.2825, 0.6082153, , , , , , , , , , , , , , , , , , , , , , 
1.296, 0.7723999, 1.296, 0.1757812, 1.296, 0.0233154, 1.296, 0.6098633, , , , , , , , , , , , , , , , , , , , , , 
1.3095, 0.7720947, 1.3095, 0.1746216, 1.3095, 0.0217285, 1.3095, 0.6105957, , , , , , , , , , , , , , , , , , , , , , 
1.323, 0.7714233, 1.323, 0.1726074, 1.323, 0.0187378, 1.323, 0.6121216, , , , , , , , , , , , , , , , , , , , , , 
1.3365, 0.7710571, 1.3365, 0.1716309, 1.3365, 0.0172119, 1.3365, 0.612915, , , , , , , , , , , , , , , , , , , , , , 
1.35, 0.7702026, 1.35, 0.1700439, 1.35, 0.0145264, 1.35, 0.614502, , , , , , , , , , , , , , , , , , , , , , 
1.3635, 0.769043, 1.3635, 0.168396, 1.3635, 0.0128784, 1.3635, 0.6165161, , , , , , , , , , , , , , , , , , , , , , 
1.377, 0.7684326, 1.377, 0.1675415, 1.377, 0.012207, 1.377, 0.6174927, , , , , , , , , , , , , , , , , , , , , , 
1.3905, 0.7670288, 1.3905, 0.1657715, 1.3905, 0.0108643, 1.3905, 0.619751, , , , , , , , , , , , , , , , , , , , , , 
1.404, 0.7662964, 1.404, 0.164978, 1.404, 0.0102539, 1.404, 0.6208496, , , , , , , , , , , , , , , , , , , , , , 
1.4175, 0.7651367, 1.4175, 0.1635132, 1.4175, 0.0092773, 1.4175, 0.6226807, , , , , , , , , , , , , , , , , , , , , , 
1.431, 0.7646484, 1.431, 0.1630249, 1.431, 0.0088501, 1.431, 0.6234131, , , , , , , , , , , , , , , , , , , , , , 
1.4445, 0.7637939, 1.4445, 0.1620483, 1.4445, 0.0081177, 1.4445, 0.6247559, , , , , , , , , , , , , , , , , , , , , , 
1.458, 0.7633667, 1.458, 0.1616211, 1.458, 0.0078735, 1.458, 0.6253662, , , , , , , , , , , , , , , , , , , , , , 
1.4715, 0.7626953, 1.4715, 0.1609497, 1.4715, 0.0074463, 1.4715, 0.6264038, , , , , , , , , , , , , , , , , , , , , , 
1.485, 0.7623901, 1.485, 0.1606445, 1.485, 0.0074463, 1.485, 0.6268311, , , , , , , , , , , , , , , , , , , , , , 
1.4985, 0.7618408, 1.4985, 0.1602783, 1.4985, 0.0076294, 1.4985, 0.6275635, , , , , , , , , , , , , , , , , , , , , , 
1.512, 0.7616577, 1.512, 0.1602173, 1.512, 0.0078125, 1.512, 0.6278076, , , , , , , , , , , , , , , , , , , , , , 
1.5255, 0.7615356, 1.5255, 0.1602173, 1.5255, 0.0083618, 1.5255, 0.6279907, , , , , , , , , , , , , , , , , , , , , , 
1.539, 0.7614746, 1.539, 0.1602783, 1.539, 0.008667, 1.539, 0.6279907, , , , , , , , , , , , , , , , , , , , , , 
1.5525, 0.7614746, 1.5525, 0.1605225, 1.5525, 0.0091553, 1.5525, 0.6279907, , , , , , , , , , , , , , , , , , , , , , 
