Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:16:27
Collection Length (seconds):, 44.712
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.7492065, 0, 0.180542, 0, 0.1295776, 0, 0.6239624, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.7493896, 0.0135, 0.1806641, 0.0135, 0.1295776, 0.0135, 0.6236572, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.7498169, 0.027, 0.1808472, 0.027, 0.1295776, 0.027, 0.6231689, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.75, 0.0405, 0.1809692, 0.0405, 0.1295776, 0.0405, 0.6229248, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.7503662, 0.054, 0.1810913, 0.054, 0.1295776, 0.054, 0.6223755, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.7506104, 0.0675, 0.1812134, 0.0675, 0.1296387, 0.0675, 0.6220093, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.7510376, 0.081, 0.1813354, 0.081, 0.1296997, 0.081, 0.62146, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.7512207, 0.0945, 0.1813965, 0.0945, 0.1296997, 0.0945, 0.6212158, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.7516479, 0.108, 0.1816406, 0.108, 0.1295776, 0.108, 0.6206665, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.7518311, 0.1215, 0.1817627, 0.1215, 0.1295776, 0.1215, 0.6204224, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.7522583, 0.135, 0.1819458, 0.135, 0.1295776, 0.135, 0.619873, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.7526855, 0.1485, 0.1820068, 0.1485, 0.1296997, 0.1485, 0.6193237, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.7528076, 0.162, 0.1820068, 0.162, 0.1298218, 0.162, 0.6190796, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.7531738, 0.1755, 0.1821899, 0.1755, 0.1298828, 0.1755, 0.6186523, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.753418, 0.189, 0.182251, 0.189, 0.1299438, 0.189, 0.6182861, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.7537842, 0.2025, 0.1824341, 0.2025, 0.1298828, 0.2025, 0.6177979, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.7540283, 0.216, 0.1825562, 0.216, 0.1298828, 0.216, 0.6174316, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.7545776, 0.2295, 0.1828003, 0.2295, 0.1298828, 0.2295, 0.6166992, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.7547607, 0.243, 0.1829224, 0.243, 0.1298828, 0.243, 0.6164551, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.7553101, 0.2565, 0.1830444, 0.2565, 0.1299438, 0.2565, 0.6157837, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.7554932, 0.27, 0.1831055, 0.27, 0.1299438, 0.27, 0.6155396, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.7558594, 0.2835, 0.1832275, 0.2835, 0.1300049, 0.2835, 0.6149902, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.7561035, 0.297, 0.1833496, 0.297, 0.1300049, 0.297, 0.614624, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.7565308, 0.3105, 0.1835327, 0.3105, 0.1299438, 0.3105, 0.6140747, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.7567749, 0.324, 0.1837158, 0.324, 0.1300049, 0.324, 0.6137085, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.7572632, 0.3375, 0.184021, 0.3375, 0.1300049, 0.3375, 0.6129761, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.7578125, 0.351, 0.184082, 0.351, 0.1299438, 0.351, 0.6123657, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.7579956, 0.3645, 0.1841431, 0.3645, 0.1300049, 0.3645, 0.6120605, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.7584229, 0.378, 0.1842041, 0.378, 0.130249, 0.378, 0.6115112, , , , , , , , , , , , , , , , , , , , , , 
