Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:34:14
Collection Length (seconds):, 40.824
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.2680054, 0, 0.0560913, 0, 0.211731, 0, 0.9381714, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.2680054, 0.0135, 0.0560913, 0.0135, 0.211731, 0.0135, 0.9381714, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.2678833, 0.027, 0.0560303, 0.027, 0.2116699, 0.027, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.2678833, 0.0405, 0.0560303, 0.0405, 0.2116699, 0.0405, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.2679443, 0.054, 0.0560303, 0.054, 0.2116089, 0.054, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.2681885, 0.0675, 0.0559692, 0.0675, 0.2115479, 0.0675, 0.9381714, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.2682495, 0.081, 0.0559692, 0.081, 0.2114868, 0.081, 0.9381714, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.2683716, 0.0945, 0.0559692, 0.0945, 0.2114868, 0.0945, 0.9381714, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.2683716, 0.108, 0.0558472, 0.108, 0.2114258, 0.108, 0.9381714, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.2685547, 0.1215, 0.0557861, 0.1215, 0.2110596, 0.1215, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.2685547, 0.135, 0.0557861, 0.135, 0.2108154, 0.135, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.2687988, 0.1485, 0.0558472, 0.1485, 0.2103882, 0.1485, 0.9382935, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.269043, 0.162, 0.0559692, 0.162, 0.210144, 0.162, 0.9382935, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.2694702, 0.1755, 0.0562134, 0.1755, 0.2095947, 0.1755, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.2697754, 0.189, 0.0563354, 0.189, 0.2092896, 0.189, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.2702026, 0.2025, 0.0565796, 0.2025, 0.2087402, 0.2025, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.2703857, 0.216, 0.0567017, 0.216, 0.208374, 0.216, 0.9382324, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.2705688, 0.2295, 0.0568848, 0.2295, 0.2078857, 0.2295, 0.9382935, , , , , , , , , , , , , , , , , , , , , , 
