Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:33:14
Collection Length (seconds):, 41.8635
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.1264648, 0, 0.0822144, 0, 0.2149048, 0, 0.9649048, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.1265259, 0.0135, 0.0821533, 0.0135, 0.2149048, 0.0135, 0.9649048, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.1265869, 0.027, 0.0821533, 0.027, 0.2149048, 0.027, 0.9649048, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.1264648, 0.0405, 0.0820312, 0.0405, 0.2149658, 0.0405, 0.9649048, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.1264038, 0.054, 0.0819702, 0.054, 0.2149048, 0.054, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.1262207, 0.0675, 0.0819092, 0.0675, 0.2149048, 0.0675, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.1262207, 0.081, 0.0819092, 0.081, 0.2149658, 0.081, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.1260986, 0.0945, 0.0818481, 0.0945, 0.2149658, 0.0945, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.1260986, 0.108, 0.0818481, 0.108, 0.2150269, 0.108, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.1259766, 0.1215, 0.0819702, 0.1215, 0.2150269, 0.1215, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.1259766, 0.135, 0.0819702, 0.135, 0.2150269, 0.135, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.1258545, 0.1485, 0.0819702, 0.1485, 0.2150269, 0.1485, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.1258545, 0.162, 0.0820312, 0.162, 0.2150269, 0.162, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.1257935, 0.1755, 0.0820312, 0.1755, 0.2150269, 0.1755, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.1258545, 0.189, 0.0820312, 0.189, 0.2150269, 0.189, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.1257935, 0.2025, 0.0820312, 0.2025, 0.2150269, 0.2025, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.1257324, 0.216, 0.0820312, 0.216, 0.2150269, 0.216, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.1257324, 0.2295, 0.0819702, 0.2295, 0.2150269, 0.2295, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.1257935, 0.243, 0.0820312, 0.243, 0.2150879, 0.243, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.1257935, 0.2565, 0.0820923, 0.2565, 0.2150879, 0.2565, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.1259155, 0.27, 0.0821533, 0.27, 0.2150879, 0.27, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.1260376, 0.2835, 0.0822144, 0.2835, 0.2150269, 0.2835, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.1260376, 0.297, 0.0822144, 0.297, 0.2150269, 0.297, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.1260986, 0.3105, 0.0822144, 0.3105, 0.2150269, 0.3105, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.1259766, 0.324, 0.0822754, 0.324, 0.2149658, 0.324, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.1259766, 0.3375, 0.0822754, 0.3375, 0.2149658, 0.3375, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.1258545, 0.351, 0.0822144, 0.351, 0.2149658, 0.351, 0.9649658, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.1258545, 0.3645, 0.0822754, 0.3645, 0.2149048, 0.3645, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.1257935, 0.378, 0.0822754, 0.378, 0.2149048, 0.378, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.1257324, 0.3915, 0.0822754, 0.3915, 0.2149048, 0.3915, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.1256714, 0.405, 0.0822754, 0.405, 0.2148438, 0.405, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.1256104, 0.4185, 0.0822144, 0.4185, 0.2147827, 0.4185, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.1256104, 0.432, 0.0822144, 0.432, 0.2147827, 0.432, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.4455, 0.1257324, 0.4455, 0.0822144, 0.4455, 0.2147217, 0.4455, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.459, 0.1257324, 0.459, 0.0822144, 0.459, 0.2147217, 0.459, 0.9650269, , , , , , , , , , , , , , , , , , , , , , 
0.4725, 0.1256714, 0.4725, 0.0822144, 0.4725, 0.2147217, 0.4725, 0.9650879, , , , , , , , , , , , , , , , , , , , , , 
0.486, 0.1256104, 0.486, 0.0822144, 0.486, 0.2147217, 0.486, 0.9650879, , , , , , , , , , , , , , , , , , , , , , 
0.4995, 0.1254883, 0.4995, 0.0822144, 0.4995, 0.2147217, 0.4995, 0.9650879, , , , , , , , , , , , , , , , , , , , , , 
0.513, 0.1254272, 0.513, 0.0822144, 0.513, 0.2146606, 0.513, 0.9650879, , , , , , , , , , , , , , , , , , , , , , 
0.5265, 0.1253052, 0.5265, 0.0821533, 0.5265, 0.2145996, 0.5265, 0.9651489, , , , , , , , , , , , , , , , , , , , , , 
0.54, 0.1252441, 0.54, 0.0821533, 0.54, 0.2144775, 0.54, 0.9651489, , , , , , , , , , , , , , , , , , , , , , 
0.5535, 0.1251831, 0.5535, 0.0821533, 0.5535, 0.2144165, 0.5535, 0.96521, , , , , , , , , , , , , , , , , , , , , , 
0.567, 0.125061, 0.567, 0.0821533, 0.567, 0.2144165, 0.567, 0.96521, , , , , , , , , , , , , , , , , , , , , , 
0.5805, 0.125, 0.5805, 0.0821533, 0.5805, 0.2144165, 0.5805, 0.96521, , , , , , , , , , , , , , , , , , , , , , 
0.594, 0.1248779, 0.594, 0.0821533, 0.594, 0.2143555, 0.594, 0.965271, , , , , , , , , , , , , , , , , , , , , , 
0.6075, 0.1248169, 0.6075, 0.0820923, 0.6075, 0.2142944, 0.6075, 0.965271, , , , , , , , , , , , , , , , , , , , , , 
0.621, 0.1246948, 0.621, 0.0820923, 0.621, 0.2142334, 0.621, 0.965332, , , , , , , , , , , , , , , , , , , , , , 
0.6345, 0.1246338, 0.6345, 0.0820923, 0.6345, 0.2141724, 0.6345, 0.965332, , , , , , , , , , , , , , , , , , , , , , 
0.648, 0.1246338, 0.648, 0.0820312, 0.648, 0.2141113, 0.648, 0.965332, , , , , , , , , , , , , , , , , , , , , , 
0.6615, 0.1245728, 0.6615, 0.0820923, 0.6615, 0.2140503, 0.6615, 0.965332, , , , , , , , , , , , , , , , , , , , , , 
0.675, 0.1245728, 0.675, 0.0820923, 0.675, 0.2140503, 0.675, 0.965332, , , , , , , , , , , , , , , , , , , , , , 
0.6885, 0.1245117, 0.6885, 0.0820923, 0.6885, 0.2139893, 0.6885, 0.9653931, , , , , , , , , , , , , , , , , , , , , , 
0.702, 0.1243896, 0.702, 0.0820923, 0.702, 0.2138672, 0.702, 0.9654541, , , , , , , , , , , , , , , , , , , , , , 
0.7155, 0.1243896, 0.7155, 0.0821533, 0.7155, 0.2137451, 0.7155, 0.9654541, , , , , , , , , , , , , , , , , , , , , , 
0.729, 0.1240845, 0.729, 0.0820923, 0.729, 0.2136841, 0.729, 0.9655151, , , , , , , , , , , , , , , , , , , , , , 
0.7425, 0.1240234, 0.7425, 0.0820923, 0.7425, 0.2136841, 0.7425, 0.9655151, , , , , , , , , , , , , , , , , , , , , , 
0.756, 0.1239014, 0.756, 0.0822144, 0.756, 0.2136841, 0.756, 0.9655151, , , , , , , , , , , , , , , , , , , , , , 
0.7695, 0.1235962, 0.7695, 0.0822144, 0.7695, 0.213623, 0.7695, 0.9655762, , , , , , , , , , , , , , , , , , , , , , 
0.783, 0.1234741, 0.783, 0.0822144, 0.783, 0.213623, 0.783, 0.9655762, , , , , , , , , , , , , , , , , , , , , , 
0.7965, 0.1233521, 0.7965, 0.0822754, 0.7965, 0.213623, 0.7965, 0.9655762, , , , , , , , , , , , , , , , , , , , , , 
0.81, 0.1233521, 0.81, 0.0823364, 0.81, 0.2136841, 0.81, 0.9655762, , , , , , , , , , , , , , , , , , , , , , 
0.8235, 0.1231079, 0.8235, 0.0823975, 0.8235, 0.2136841, 0.8235, 0.9656372, , , , , , , , , , , , , , , , , , , , , , 
0.837, 0.1228638, 0.837, 0.0824585, 0.837, 0.2138672, 0.837, 0.9655762, , , , , , , , , , , , , , , , , , , , , , 
0.8505, 0.1222534, 0.8505, 0.0828247, 0.8505, 0.2148438, 0.8505, 0.9653931, , , , , , , , , , , , , , , , , , , , , , 
0.864, 0.1217651, 0.864, 0.0831299, 0.864, 0.2157593, 0.864, 0.965271, , , , , , , , , , , , , , , , , , , , , , 
0.8775, 0.1196899, 0.8775, 0.0841064, 0.8775, 0.2182007, 0.8775, 0.9649048, , , , , , , , , , , , , , , , , , , , , , 
0.891, 0.1188965, 0.891, 0.0844727, 0.891, 0.2192383, 0.891, 0.9647217, , , , , , , , , , , , , , , , , , , , , , 
