Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 15:35:26
Collection Length (seconds):, 38.772
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.6584473, 0, 0.1044922, 0, -0.2076416, 0, -0.7158203, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.6581421, 0.0135, 0.1043701, 0.0135, -0.2077026, 0.0135, -0.7161255, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.6575928, 0.027, 0.104126, 0.027, -0.2075806, 0.027, -0.7166748, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.6572266, 0.0405, 0.104126, 0.0405, -0.2075195, 0.0405, -0.717041, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.6565552, 0.054, 0.104126, 0.054, -0.2075806, 0.054, -0.7176514, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.656311, 0.0675, 0.104187, 0.0675, -0.2075195, 0.0675, -0.7178955, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.6557617, 0.081, 0.1043701, 0.081, -0.2073975, 0.081, -0.7183228, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.6556396, 0.0945, 0.1044922, 0.0945, -0.2073364, 0.0945, -0.7185059, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.6553345, 0.108, 0.1048584, 0.108, -0.2071533, 0.108, -0.71875, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.6552734, 0.1215, 0.1052246, 0.1215, -0.2067261, 0.1215, -0.7188721, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.6553345, 0.135, 0.1055908, 0.135, -0.206543, 0.135, -0.7188721, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.6555176, 0.1485, 0.1066895, 0.1485, -0.2059937, 0.1485, -0.718689, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.6555786, 0.162, 0.1073608, 0.162, -0.2056274, 0.162, -0.7186279, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.6555176, 0.1755, 0.1085205, 0.1755, -0.2052002, 0.1755, -0.7186279, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.6553955, 0.189, 0.1090088, 0.189, -0.2051392, 0.189, -0.7186279, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.6549072, 0.2025, 0.1099243, 0.2025, -0.2050781, 0.2025, -0.7189941, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.6546021, 0.216, 0.1103516, 0.216, -0.2051392, 0.216, -0.7191772, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.6538086, 0.2295, 0.111145, 0.2295, -0.2052002, 0.2295, -0.7197876, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.6533203, 0.243, 0.1115723, 0.243, -0.2050781, 0.243, -0.7201538, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.6524658, 0.2565, 0.1125488, 0.2565, -0.2047729, 0.2565, -0.7208862, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.6520996, 0.27, 0.1130371, 0.27, -0.2046509, 0.27, -0.7211914, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.6512451, 0.2835, 0.1140137, 0.2835, -0.2044067, 0.2835, -0.7218628, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.6509399, 0.297, 0.114502, 0.297, -0.2042236, 0.297, -0.7221069, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.6500854, 0.3105, 0.1152954, 0.3105, -0.2039185, 0.3105, -0.7228394, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.6491699, 0.324, 0.1160889, 0.324, -0.2037354, 0.324, -0.7235718, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.6486816, 0.3375, 0.116394, 0.3375, -0.2036743, 0.3375, -0.723999, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.6478882, 0.351, 0.1169434, 0.351, -0.2036743, 0.351, -0.7246094, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.6473999, 0.3645, 0.1171875, 0.3645, -0.2036743, 0.3645, -0.7250366, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.6466675, 0.378, 0.1176758, 0.378, -0.2036743, 0.378, -0.7255859, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.6463623, 0.3915, 0.1179199, 0.3915, -0.2036743, 0.3915, -0.7258301, , , , , , , , , , , , , , , , , , , , , , 
