Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 17:10:35
Collection Length (seconds):, 50.625
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9517212, 0, 0.1947021, 0, -0.0630493, 0, 0.2288208, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9501343, 0.0135, 0.1964722, 0.0135, -0.0633545, 0.0135, 0.2337036, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9470215, 0.027, 0.2001953, 0.027, -0.0652466, 0.027, 0.2426147, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9454346, 0.0405, 0.2015381, 0.0405, -0.0636597, 0.0405, 0.2478638, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9423828, 0.054, 0.204834, 0.054, -0.0618896, 0.054, 0.2572021, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9407959, 0.0675, 0.2064209, 0.0675, -0.0616455, 0.0675, 0.2617798, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9376221, 0.081, 0.2092285, 0.081, -0.0600586, 0.081, 0.2709961, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9363403, 0.0945, 0.2102661, 0.0945, -0.0591431, 0.0945, 0.2749634, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9342651, 0.108, 0.2113037, 0.108, -0.0554199, 0.108, 0.2818604, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9324951, 0.1215, 0.2122803, 0.1215, -0.0527344, 0.1215, 0.2873535, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9317627, 0.135, 0.2128906, 0.135, -0.0518799, 0.135, 0.2895508, , , , , , , , , , , , , , , , , , , , , , 
