Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 17:07:11
Collection Length (seconds):, 45.2925
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0.9547119, 0, 0.2249146, 0, -0.0471191, 0, 0.1890259, , , , , , , , , , , , , , , , , , , , , , 
0.0135, 0.9546509, 0.0135, 0.2249146, 0.0135, -0.0471191, 0.0135, 0.1891479, , , , , , , , , , , , , , , , , , , , , , 
0.027, 0.9547119, 0.027, 0.2248535, 0.027, -0.0471191, 0.027, 0.1889648, , , , , , , , , , , , , , , , , , , , , , 
0.0405, 0.9547729, 0.0405, 0.2248535, 0.0405, -0.0470581, 0.0405, 0.1888428, , , , , , , , , , , , , , , , , , , , , , 
0.054, 0.9547119, 0.054, 0.2248535, 0.054, -0.0470581, 0.054, 0.1889038, , , , , , , , , , , , , , , , , , , , , , 
0.0675, 0.9547729, 0.0675, 0.2248535, 0.0675, -0.0469971, 0.0675, 0.1888428, , , , , , , , , , , , , , , , , , , , , , 
0.081, 0.9547729, 0.081, 0.2248535, 0.081, -0.0469971, 0.081, 0.1888428, , , , , , , , , , , , , , , , , , , , , , 
0.0945, 0.9547119, 0.0945, 0.2249146, 0.0945, -0.0471802, 0.0945, 0.1887817, , , , , , , , , , , , , , , , , , , , , , 
0.108, 0.9547729, 0.108, 0.2249146, 0.108, -0.0473022, 0.108, 0.1887207, , , , , , , , , , , , , , , , , , , , , , 
0.1215, 0.9547119, 0.1215, 0.2249146, 0.1215, -0.0473633, 0.1215, 0.1887207, , , , , , , , , , , , , , , , , , , , , , 
0.135, 0.9547119, 0.135, 0.2249756, 0.135, -0.0475464, 0.135, 0.1885986, , , , , , , , , , , , , , , , , , , , , , 
0.1485, 0.9547119, 0.1485, 0.2249756, 0.1485, -0.0476685, 0.1485, 0.1885376, , , , , , , , , , , , , , , , , , , , , , 
0.162, 0.9547119, 0.162, 0.2250977, 0.162, -0.0476685, 0.162, 0.1884766, , , , , , , , , , , , , , , , , , , , , , 
0.1755, 0.9547729, 0.1755, 0.2250977, 0.1755, -0.0477295, 0.1755, 0.1884155, , , , , , , , , , , , , , , , , , , , , , 
0.189, 0.9547729, 0.189, 0.2250977, 0.189, -0.0477295, 0.189, 0.1883545, , , , , , , , , , , , , , , , , , , , , , 
0.2025, 0.9547119, 0.2025, 0.2250977, 0.2025, -0.0477905, 0.2025, 0.1884155, , , , , , , , , , , , , , , , , , , , , , 
0.216, 0.9546509, 0.216, 0.2252197, 0.216, -0.0478516, 0.216, 0.1886597, , , , , , , , , , , , , , , , , , , , , , 
0.2295, 0.9546509, 0.2295, 0.2252808, 0.2295, -0.0479126, 0.2295, 0.1887207, , , , , , , , , , , , , , , , , , , , , , 
0.243, 0.9546509, 0.243, 0.2252808, 0.243, -0.0480347, 0.243, 0.1885986, , , , , , , , , , , , , , , , , , , , , , 
0.2565, 0.9546509, 0.2565, 0.2252808, 0.2565, -0.0480347, 0.2565, 0.1884155, , , , , , , , , , , , , , , , , , , , , , 
0.27, 0.9547119, 0.27, 0.2252808, 0.27, -0.0481567, 0.27, 0.1884155, , , , , , , , , , , , , , , , , , , , , , 
0.2835, 0.9547119, 0.2835, 0.2252808, 0.2835, -0.0482178, 0.2835, 0.1882935, , , , , , , , , , , , , , , , , , , , , , 
0.297, 0.9547729, 0.297, 0.2253418, 0.297, -0.0482788, 0.297, 0.1878662, , , , , , , , , , , , , , , , , , , , , , 
0.3105, 0.9547729, 0.3105, 0.2253418, 0.3105, -0.0482788, 0.3105, 0.1878662, , , , , , , , , , , , , , , , , , , , , , 
0.324, 0.9547729, 0.324, 0.2254028, 0.324, -0.0483398, 0.324, 0.1878662, , , , , , , , , , , , , , , , , , , , , , 
0.3375, 0.9547729, 0.3375, 0.2253418, 0.3375, -0.0484009, 0.3375, 0.1878662, , , , , , , , , , , , , , , , , , , , , , 
0.351, 0.9547729, 0.351, 0.2253418, 0.351, -0.0484009, 0.351, 0.1878662, , , , , , , , , , , , , , , , , , , , , , 
0.3645, 0.9547119, 0.3645, 0.2254028, 0.3645, -0.0484009, 0.3645, 0.1878662, , , , , , , , , , , , , , , , , , , , , , 
0.378, 0.9547119, 0.378, 0.2254028, 0.378, -0.0484619, 0.378, 0.1878662, , , , , , , , , , , , , , , , , , , , , , 
0.3915, 0.9547119, 0.3915, 0.2254028, 0.3915, -0.0484009, 0.3915, 0.1879272, , , , , , , , , , , , , , , , , , , , , , 
0.405, 0.9547119, 0.405, 0.2254028, 0.405, -0.0483398, 0.405, 0.1878662, , , , , , , , , , , , , , , , , , , , , , 
0.4185, 0.9547119, 0.4185, 0.2254028, 0.4185, -0.0481567, 0.4185, 0.1881104, , , , , , , , , , , , , , , , , , , , , , 
0.432, 0.9547119, 0.432, 0.2254028, 0.432, -0.0481567, 0.432, 0.1881104, , , , , , , , , , , , , , , , , , , , , , 
